district,total_target_for_2023_24_no_of_prj,mm_involve_in_lakh,forwarded_to_bank_no_of_prj,mm_involve_in_lakh,sanctioned_by_bank_no_of_prj,mm_involve_in_lakh,margin_money_claimed_no_of_prj,mm_involve_in_lakh,mm_disbursed_no_of_prj,mm_involve_in_lakh,returned_by_bank_no_of_prj,mm_in_lakh,pending_at_bank_no_of_prj,mm_involve_in_lakh,pending_for_mm_disbursement_no_of_prj,mm_in_lakh
Bokaro,413,1197.70,361,1562.20,100,401.41,54,223.14,49,210.11,198,796.60,51,311.77,3,6.26
Chatra,179,519.10,267,778.17,67,142.30,38,102.56,24,47.39,161,441.88,40,150.78,11,36.19
Deoghar,253,733.70,476,960.39,149,360.97,83,260.36,70,193.37,266,456.72,59,133.89,8,19.16
Dhanbad,405,1174.50,467,1235.88,125,316.18,57,180.06,47,147.51,255,726.87,75,209.13,9,9.68
Dumka,306,887.40,361,859.90,126,237.97,118,195.74,103,184.95,197,478.72,29,84.68,6,11.26
Garhwa,183,530.70,159,561.53,44,109.71,22,69.95,20,45.42,90,278.95,23,129.37,4,14.47
Giridih,292,846.80,445,1291.70,157,348.31,134,260.13,115,209.07,224,686.43,51,184.05,12,22.06
Godda,294,852.60,394,1111.52,131,294.11,102,322.29,74,238.82,235,621.19,19,133.26,13,32.90
Gumla,186,539.40,210,574.65,56,117.67,32,68.25,30,61.53,122,328.24,34,100.31,5,8.72
Hazaribagh,430,1247.00,711,2197.16,193,613.35,136,487.95,97,317.36,411,1197.19,95,279.09,15,48.37
Jamtara,175,507.50,233,622.85,59,152.37,29,55.49,24,35.45,149,362.15,28,91.68,5,15.47
Khunti,201,582.90,193,460.55,70,104.47,22,41.13,16,24.54,101,268.59,17,55.53,8,15.68
Koderma,203,588.70,309,636.15,69,109.46,40,69.30,41,81.76,188,367.21,42,112.07,5,9.42
Latehar,148,429.20,124,310.12,50,123.38,15,37.34,16,54.47,53,128.55,21,60.21,1,0.79
Lohardaga,186,539.40,233,588.48,89,196.22,47,79.40,42,61.07,106,279.37,39,104.82,7,14.36
Pakur,203,588.70,201,434.53,55,71.71,33,34.73,38,53.19,127,312.28,16,34.38,1,7.00
Palamu,240,696.00,249,945.01,85,204.77,44,135.48,37,117.19,137,566.35,25,143.58,2,6.98
Ramgarh,303,878.70,274,924.44,84,327.03,48,201.69,38,169.85,148,436.02,42,134.88,9,43.75
Ranchi,390,1131.00,840,2752.00,288,696.46,148,421.89,119,339.28,370,1209.01,177,759.59,25,60.84
Sahibganj,294,852.60,647,1030.56,148,191.61,76,109.25,63,85.36,414,673.05,66,118.09,20,25.11
Simdega,176,510.40,152,397.64,56,108.72,40,79.56,33,52.78,58,169.82,35,101.06,5,17.92
