district,digital_coverage_for_savings_accounts_eligible_operative_savings_accounts_no_of,"of_which,_no_of_women_accounts","coverage_with_at_least_one_of_the_digital_modes_of_payment_debit_rupay_cards,_in",pct_coverage_dec_23,nov_23,growth_decline,"out_of_total_no_of_women_accounts_g6,_no_of_women_accounts_covered",pct_coverage_for_women_accounts_dec_23,pct_coverage_nov_23,growth_decline,no_of_operative_sb_accounts_ineligible_for_digital_coverage_as_per_banks_board_a,digital_coverage_for_businesses_current_accounts_total_no_of_eligible_operative,eligible_operative_current_business_accounts_covered_with_at_least_one_of_facili,pct_coverage_dec_23,nov_23,growth_decline,no_of_operative_current_business_accounts_ineligible_for_digital_coverage_as_per
Bokaro,2305494,951751,2223007,96.42,95.78,▲ 0.67,915284,96.17,95.46,▲ 0.74,148576,46632,40677,87.23,84.00,▲ 3.85,27
Chatra,977374,424977,945628,96.75,95.62,▲ 1.19,411359,96.80,95.92,▲ 0.91,108224,9522,7534,79.12,73.64,▲ 7.44,17
Deoghar,1686328,751246,1573351,93.30,89.61,▲ 4.11,710315,94.55,91.88,▲ 2.90,100291,28024,24662,88.00,82.18,▲ 7.08,20
Dhanbad,3068938,1305013,2967806,96.70,95.24,▲ 1.54,1259064,96.48,94.87,▲ 1.69,160003,75800,67773,89.41,86.60,▲ 3.24,26
Dumka,1307368,653407,1218822,93.23,91.19,▲ 2.23,611546,93.59,92.51,▲ 1.18,116147,14400,12625,87.67,79.83,▲ 9.82,18
Garhwa,1174437,509327,1105728,94.15,94.19,▼ 0.04,476461,93.55,89.50,▲ 4.52,138754,11372,9949,87.48,58.88,▲ 48.58,17
Giridih,2607839,1166627,2495626,95.70,93.50,▲ 2.35,1103054,94.55,93.46,▲ 1.17,162549,31743,27712,87.30,85.22,▲ 2.45,22
Godda,1329157,618538,1270807,95.61,94.70,▲ 0.96,595936,96.35,95.43,▲ 0.96,103027,11923,10073,84.48,82.11,▲ 2.89,19
Gumla,1035712,486960,965547,93.23,90.28,▲ 3.26,455338,93.51,90.73,▲ 3.06,77763,8766,7117,81.19,43.70,▲ 85.77,18
Hazaribagh,2017971,876438,1895114,93.91,91.92,▲ 2.17,822442,93.84,91.86,▲ 2.16,142191,35785,30692,85.77,81.87,▲ 4.77,24
Jamtara,859782,374611,800269,93.08,90.75,▲ 2.56,353152,94.27,92.15,▲ 2.31,80883,7251,6365,87.78,82.44,▲ 6.48,15
Khunti,476025,208835,439075,92.24,89.69,▲ 2.84,190265,91.11,88.77,▲ 2.64,25165,4784,4020,84.03,63.34,▲ 32.67,17
Koderma,814483,356396,787152,96.64,95.94,▲ 0.74,345070,96.82,96.04,▲ 0.81,93628,17017,15093,88.69,86.13,▲ 2.97,20
Latehar,692574,307559,657079,94.87,90.37,▲ 4.98,290450,94.44,90.11,▲ 4.80,60985,10565,9351,88.51,75.32,▲ 17.51,17
Lohardaga,531410,247253,490745,92.35,90.53,▲ 2.01,227766,92.12,90.45,▲ 1.84,61876,7615,5960,78.26,69.47,▲ 12.65,16
Pakur,875940,450335,826552,94.36,93.46,▲ 0.97,426427,94.69,94.13,▲ 0.60,63308,10794,9924,91.94,90.37,▲ 1.74,19
Palamu,1714445,731194,1616896,94.31,93.95,▲ 0.38,690900,94.49,93.86,▲ 0.67,180925,22756,19798,87.00,73.65,▲ 18.13,20
Ramgarh,1287605,563093,1227118,95.30,94.39,▲ 0.97,533305,94.71,91.65,▲ 3.34,68030,19605,16139,82.32,83.91,▼ 1.89,22
Sahibganj,991978,478693,948223,95.59,94.34,▲ 1.32,457696,95.61,94.60,▲ 1.07,106991,11915,10574,88.74,85.97,▲ 3.22,19
Seraikela-Kharsawan,1109647,491805,1028628,92.70,89.85,▲ 3.17,454942,92.50,89.69,▲ 3.13,96000,16664,14230,85.39,80.03,▲ 6.70,22
Simdega,616663,300760,566581,91.88,87.87,▲ 4.56,278116,92.47,89.11,▲ 3.77,56072,5636,4808,85.31,51.62,▲ 65.26,16
