district,as_on_31st_december_2023_micro*_no,amt,small_no,amt,medium_no,amt,other_msme_no,amt,total_no,amt,pct_of_msme_to_total_advances
Bokaro,47999,161856.92,1676,68915.70,231,47607.47,143,294.54,50049,278674.62,32.56
Chatra,8513,24192.05,132,4332.55,20,371.89,2,1.31,8667,28897.80,21.53
Deoghar,24310,72475.40,758,26447.28,115,14930.74,42,53.45,25225,113906.87,30.77
Dhanbad,69810,234223.22,2727,153555.74,387,52215.70,144,3444.23,73068,443438.90,31.50
Dumka,16314,32750.51,411,15919.75,84,5322.90,25,113.23,16834,54106.38,26.55
East Singhbhum,70172,316046.54,5694,235266.32,2035,177322.91,151,438.19,78052,729073.96,35.19
Garhwa,8381,18928.56,164,3388.17,6,79.95,5,53.48,8556,22450.16,14.10
Giridih,39410,87255.28,609,29026.72,75,12330.03,11,45.07,40105,128657.11,30.05
Godda,14620,29943.69,375,5163.32,18,1164.90,73,55.96,15086,36327.87,19.56
Gumla,7917,20904.07,165,3453.30,7,61.53,2,0.03,8091,24418.94,20.08
Hazaribagh,36338,137428.76,1308,36583.65,98,4339.07,20,64.32,37764,178415.80,30.92
Jamtara,6957,12433.23,97,2544.60,7,44.97,13,20.46,7074,15043.26,16.16
Khunti,6100,13769.61,129,2513.16,3,233.31,11,21.15,6243,16537.24,17.18
Koderma,19590,50934.98,557,8543.17,30,840.84,6,15.72,20183,60334.71,33.52
Latehar,5738,13659.87,86,1751.22,8,255.23,2,52.07,5834,15718.40,14.72
Lohardaga,6800,16845.89,177,3783.80,21,644.89,19,153.74,7017,21428.32,22.39
Pakur,15701,26705.67,278,7677.87,55,997.22,6,7.62,16040,35388.39,27.45
Palamu,15874,42794.49,401,12325.43,35,2317.02,19,47.26,16329,57484.19,17.36
Ramgarh,23193,71125.86,586,29748.23,81,10832.06,21,25.76,23881,111731.91,29.26
Ranchi,169082,486063.26,5119,284529.77,777,155199.11,174,528.93,175152,926321.07,23.98
Sahibganj,16615,23025.56,182,3040.85,24,419.99,5,9.60,16826,26496.01,18.86
Seraikela-Kharsawan,35688,65062.70,834,54750.69,226,52318.97,111,310.13,36859,172442.48,41.03
Simdega,5535,11772.08,100,920.72,3,8.33,5,0.10,5643,12701.23,21.38
West Singhbhum,19740,45353.56,614,16000.48,77,3323.77,136,85.32,20567,64763.14,16.97
