district,outstanding_as_of_last_fy_2022_23_number,amount,total_disbursment_during_this_current_afy_number,amount,outstanding_at_the_end_of_reporting_quarter_number,amount,"out_of_total_kcc_issued,_no_of_rupay_cards_issued_number",kcc_card_activated_number,col_10
Bokaro,55500,33328,13910,11139,53411,32094,26700,14634,
Chatra,56942,29995,13345,8503,55476,30491,25666,17306,
Deoghar,87870,44334,29196,18667,87542,46713,46150,35137,
Dhanbad,48413,28370,9668,11154,44465,27075,16725,8902,
Dumka,68535,28429,18042,9390,68099,30995,39789,27491,
East Singhbhum,80057,44849,21996,17832,78389,45558,43333,28963,
Garhwa,59688,48474,15237,13728,59128,51353,36773,32083,
Giridih,84841,42511,16273,11615,84108,44436,36286,20027,
Godda,59703,35119,14577,11486,60108,37616,33078,22021,
Gumla,55160,25309,8008,5652,53526,26131,21231,13765,
Hazaribagh,79428,49948,18441,14875,77411,50654,30931,18316,
Jamtara,49468,25813,13053,9117,49303,27737,29981,21418,
Khunti,26734,12261,6276,3817,27459,14035,13065,6724,
Koderma,32407,17825,6897,4065,30616,16943,12294,6596,
Latehar,31351,20410,7806,5775,30947,22595,19615,14411,
Lohardaga,34768,18428,6222,5044,33599,18643,15139,9493,
Pakur,28886,17665,6057,4687,30278,20855,12874,8324,
Palamu,86418,65944,21563,19974,84479,67903,49919,44373,
Ramgarh,28970,16986,7285,4357,26800,16916,10629,7259,
Ranchi,97784,65884,21269,17763,95125,63236,40688,26063,
Sahibganj,42535,28778,10468,9144,41094,29525,16743,11677,
Seraikela-Kharsawan,57022,30575,13645,8328,57654,33256,32414,19745,
Simdega,22199,9558,4144,2267,22478,9796,10715,5653,
West Singhbhum,70952,41644,16812,8745,70728,44161,40658,28674,
