district,female_general_a_cs,sanc_amt_in_lakhs,minority_a_cs,sanc_amt_in_lakhs,obc_a_cs,sanc_amt_in_lakhs,sc_st_a_cs,sanc_amt_in_lakhs,total_a_cs,sanc_amt_in_lakhs,male_general_a_cs,sanc_amt_in_lakhs,sc_st_a_cs,sanc_amt_in_lakhs,total_a_cs,sanc_amt_in_lakhs,female+_male_total_a_cs,sanc_amt_in_lakhs
Bokaro,187,3889,6,99,52,1249,15,283,260,5520,0,0,34,704,34,704,294,6223
Chatra,26,447,1,20,19,382,0,0,46,849,0,0,4,122,4,122,50,971
Deoghar,119,2534,0,0,29,538,9,129,157,3201,0,0,9,149,9,149,166,3350
Dhanbad,276,6304,10,166,50,833,24,516,360,7819,0,0,34,784,34,784,394,8602
Dumka,42,832,1,56,15,375,6,179,64,1442,0,0,12,305,12,305,76,1747
Garhwa,12,184,0,0,7,94,2,30,21,308,0,0,4,80,4,80,25,388
Giridih,77,1596,3,64,42,764,6,91,128,2514,0,0,10,156,10,156,138,2671
Godda,47,934,2,29,18,300,2,70,69,1333,0,0,9,139,9,139,78,1472
Gumla,16,255,0,0,12,196,3,62,31,512,0,0,8,149,8,149,39,662
Hazaribagh,137,2246,7,144,66,1113,10,176,220,3679,0,0,23,479,23,479,243,4158
Jamtara,26,846,0,0,5,53,1,24,32,922,0,0,1,25,1,25,33,947
Khunti,19,394,0,0,1,15,0,0,20,409,0,0,3,40,3,40,23,449
Koderma,37,534,0,0,18,268,3,79,58,881,0,0,15,205,15,205,73,1086
Latehar,31,559,0,0,20,341,5,56,56,956,0,0,6,79,6,79,62,1035
Lohardaga,14,212,0,0,7,110,2,20,23,342,0,0,13,167,13,167,36,508
Pakur,20,545,1,15,3,93,1,31,25,684,0,0,3,82,3,82,28,766
Palamu,44,851,1,45,30,522,3,60,78,1478,0,0,16,276,16,276,94,1754
Ramgarh,77,1302,1,10,23,424,7,93,108,1830,0,0,10,148,10,148,118,1978
Ranchi,582,13266,14,272,92,2009,52,988,740,16535,1,71,107,2107,108,2178,848,18713
Sahibganj,18,356,1,10,12,163,2,58,33,587,0,0,3,35,3,35,36,622
Seraikela-Kharsawan,89,1675,0,0,10,166,3,47,102,1887,0,0,10,165,10,165,112,2052
Simdega,8,102,0,0,5,64,3,49,16,215,0,0,5,69,5,69,21,283
West Singhbhum,176,4516,1,11,23,422,17,290,217,5240,0,0,34,665,34,665,251,5905
