district,number_of_operative_casa,number_of_aadhaar_seeded_casa,pct_of_casa_aadhaar_seeding,number_of_authenticated_casa,pct_casa_authentication
Bokaro,2347986,1798370,76.59,1605757,68.39
Chatra,1122476,910337,81.10,724196,64.52
Deoghar,1888100,1407659,74.55,1066954,56.51
Dhanbad,3152827,2394521,75.95,2206612,69.99
Dumka,1401723,957038,68.28,690319,49.25
East Singhbhum,3171293,2436834,76.84,2029016,63.98
Garhwa,1447529,1104282,76.29,742279,51.28
Giridih,2697874,2181671,80.87,1877562,69.59
Godda,1383390,977075,70.63,709848,51.31
Gumla,1027854,834531,81.19,688561,66.99
Hazaribagh,2290171,1790928,78.20,1523554,66.53
Jamtara,798757,627789,78.60,465713,58.30
Khunti,585279,469016,80.14,426101,72.80
Koderma,964577,811964,84.18,661295,68.56
Latehar,868220,681841,78.53,463625,53.40
Lohardaga,612575,496433,81.04,474922,77.53
Pakur,1000509,817606,81.72,635885,63.56
Palamu,2235966,1698869,75.98,1176140,52.60
Ramgarh,1163241,904260,77.74,760586,65.39
Ranchi,4706940,3625542,77.03,2772514,58.90
Sahibganj,1312964,1045958,79.66,740441,56.39
Seraikela-Kharsawan,1123491,927026,82.51,769521,68.49
Simdega,629695,520466,82.65,483046,76.71
West Singhbhum,1700531,1374905,80.85,1068757,62.85
