district,total_disbursment_during_this_current_afy_number,amount,outstanding_at_the_end_of_reporting_quarter_number,amount,"out_of_total_kcc_issued,_no_of_rupay_cards_issued_number",kcc_card_activated_number
Bokaro,16,51.46,92,93.68,44,38
Chatra,7,4.98,20,29.95,13,12
Deoghar,16,13.66,54,34.59,11,11
Dhanbad,16,23.20,127,76.23,69,51
Dumka,21,17.39,58,37.82,16,16
East Singhbhum,25,50.63,131,100.30,41,32
Garhwa,5,4.56,7,4.56,7,7
Giridih,10,12.79,97,47.11,85,73
Godda,29,43.82,50,71.03,23,19
Gumla,7,3.48,21,11.53,15,12
Hazaribagh,47,58.49,196,186.02,80,72
Jamtara,3,2.71,8,5.21,3,3
Khunti,3,1.73,25,18.27,10,9
Koderma,22,16.44,59,46.86,24,23
Latehar,51,79.79,74,139.59,10,10
Lohardaga,10,6.01,77,66.32,63,55
Pakur,96,133.44,165,234.94,7,6
Palamu,49,61.26,76,90.54,19,19
Ramgarh,25,7.24,61,24.31,51,31
Ranchi,10,7.47,84,41.58,47,40
Sahibganj,84,107.70,162,151.96,95,95
Seraikela-Kharsawan,25,24.14,212,162.30,41,37
Simdega,8,9.82,58,37.21,29,17
West Singhbhum,14,17.13,107,70.65,7,6
