district,performance_during_fy_2023_24_from_01042023_to_31122023_total_candidates_trained,total_settled,settlement_pct,no_of_applications_sanctioned_no_of_application_submitted_to_banks_from_01042023,applications_sanctioned_by_banks_out_of_a_b,trainees_settled_by_availing_credit_linkage_through_shg_c,last_year_pending_applications_sanctioned_credit_linked_during_current_fy_d,total_sanctioned_b+c+d,pct_achivement_for_2023_24_application_santioned,total_amount_of_loan_sanctioned_during_current_fy_2023_24_in_actual,pct_achivement_for_2023_24_candidates_settled,no_of_application_rejected_by_banks,no_of_applications_pending_with_banks
Bokaro,538,254,47.21,230,17,83,,100,43.48,3026000.00,39.37,,130
Chatra,596,237,39.77,275,12,35,,47,17.09,,19.83,2,220
Deoghar,625,309,49.44,159,12,249,147,408,256.60,,132.04,,
Dhanbad,562,216,38.43,327,39,81,18,57,17.43,1553000.00,26.39,37,251
Dumka,629,283,44.99,71,3,,,3,4.23,60000.00,1.06,,68
East Singhbhum,503,110,21.87,240,20,12,9,41,17.08,568000.00,37.27,,220
Garhwa,630,360,57.14,273,1,163,,164,60.07,50000.00,45.56,3,269
Giridih,555,150,27.03,147,13,40,,53,36.05,2013500.00,35.33,,94
Godda,548,156,28.47,118,,,,,0.00,,0.00,,
Gumla,825,319,38.67,148,10,30,12,52,35.14,1130000.00,16.30,12,96
Hazaribagh,465,192,41.29,65,,72,,72,110.77,1702300.00,37.50,,
Jamtara,546,259,47.44,45,,,,,0.00,,0.00,,45
Khunti,488,374,76.64,430,177,70,,247,57.44,5221315.00,66.04,190,63
Koderma,579,233,40.24,194,27,20,22,69,35.57,3936500.00,29.61,43,104
Latehar,510,383,75.10,339,,,,,0.00,,0.00,,339
Lohardaga,478,122,25.52,123,11,36,9,56,45.53,722046.00,45.90,9,67
Pakur,529,302,57.09,40,,276,,276,690.00,3504000.00,91.39,,
Palamu,626,241,38.50,34,,,,,0.00,,0.00,,34
Ramgarh,487,244,50.10,306,45,84,16,145,47.39,3460000.00,59.43,32,145
Ranchi,396,220,55.56,128,,,,,0.00,,0.00,,128
Sahibganj,570,255,44.74,328,,179,149,328,100.00,16400000.00,128.63,,149
Seraikela-Kharsawan,636,233,36.64,196,1,24,9,34,17.35,1067000.00,14.59,,171
Simdega,587,300,51.11,282,26,131,1,158,56.03,3703400.00,52.67,52,204
West Singhbhum,657,227,34.55,216,43,46,24,113,52.31,3717000.00,49.78,24,103
