district,target_no,amt,agriculture_no,amt,education_no,amt,housing_no,amt,personal_loans_under_nps_no,amt,others_no,amt,total_nps_no,amt,achv_pct_amt
Bokaro,65372,365602,54,124.32,35,466.54,832,12931.70,6791,33487.01,33847,224242.57,41559,271252.15,74.19
Chatra,8874,31886,2,2.35,,,23,635.21,1259,6692.32,4481,12651.89,5765,19981.78,62.67
Deoghar,41475,116116,77,467.57,22,271.64,317,5134.90,3265,13340.48,12765,38671.50,16446,57886.09,49.85
Dhanbad,125704,511551,51,86.39,42,457.02,1324,14735.34,11153,67816.94,61952,253884.53,74522,336980.21,65.87
Dumka,16272,52058,25,51.44,,,51,1029.54,1744,6110.01,7298,23661.29,9118,30852.28,59.27
East Singhbhum,177351,797017,69,506.28,493,4309.39,2429,38594.50,13798,63884.40,117458,554765.03,134247,662059.61,83.07
Garhwa,12778,35491,8,10.31,4,33.15,38,606.40,1123,4626.24,5438,14568.27,6611,19844.36,55.91
Giridih,31993,150218,49,946.62,11,100.63,181,3667.28,3267,11779.30,18136,80243.81,21644,96737.64,64.40
Godda,11705,41400,82,119.74,3,30.69,69,911.55,1225,4200.90,6522,21067.75,7901,26330.62,63.60
Gumla,6269,24677,4,1.65,1,30.00,55,1010.01,928,3739.59,3736,11734.76,4724,16516.01,66.93
Hazaribagh,44535,152335,19,21.61,24,359.21,414,7169.67,4003,21432.32,27025,75679.35,31485,104662.16,68.71
Jamtara,7515,23316,38,53.52,1,22.48,32,479.87,805,2782.39,3620,11292.90,4496,14631.16,62.75
Khunti,5869,27551,7,4.17,3,15.21,39,612.74,586,2444.02,3139,12428.94,3774,15505.08,56.28
Koderma,17972,42678,5,18.08,7,85.76,88,1200.92,1079,3863.79,9807,28466.56,10986,33635.11,78.81
Latehar,7102,27856,11,190.79,2,17.26,20,394.67,791,3534.33,5879,14285.62,6703,18422.66,66.14
Lohardaga,5315,20322,3,20.14,,,61,824.01,613,2594.27,3074,9082.47,3751,12520.88,61.61
Pakur,11893,25563,7,5.29,1,3.51,45,693.71,607,1765.17,10018,17074.25,10678,19541.93,76.45
Palamu,27581,88479,16,29.59,3,16.08,107,1983.42,2395,9317.09,13253,38811.40,15774,50157.58,56.69
Ramgarh,21865,131702,6,4.75,11,195.86,350,5398.67,3627,23312.60,11662,49932.07,15656,78843.96,59.87
Ranchi,265681,1547372,101,32347.51,315,3251.91,3370,73404.68,19690,104419.05,163985,1232298.38,187461,1445721.52,93.43
Sahibganj,9495,35404,38,52.76,1,1.50,45,562.44,1154,4294.61,5294,16114.94,6532,21026.25,59.39
Seraikela-Kharsawan,27547,96009,5,5.35,8,107.77,293,4541.57,2659,10543.99,16752,49703.75,19717,64902.44,67.60
Simdega,4131,12713,4,9.77,1,9.00,25,229.63,488,2207.92,2140,5776.17,2658,8232.49,64.76
West Singhbhum,19156,137684,17,44.76,16,167.56,132,2613.54,2330,9670.53,8823,156052.42,11318,168548.81,122.42
