district,shishu_outstanding_no,amt,npa_no,amt,kishor_outstanding_no,amt,npa_no,amt,tarun_outstanding_no,amt,[no_in_actual_and_amt_in_lakh]_npa_no,amt,pmmy_outstanding_no,amt,npa_no,amt
Bokaro,89921,15535.60,11130,1583.05,46201,37508.24,4803,5367.31,3456,19422.98,600,3211.88,139578,72467,16533,10162
Chatra,11667,2237.71,1413,365.68,6534,7669.57,1198,1699.67,1174,6351.58,162,944.60,19375,16259,2773,3010
Deoghar,32856,7157.21,2247,959.53,22669,20053.42,2351,2614.23,1806,10999.14,209,1117.88,57331,38210,4807,4692
Dhanbad,137094,26490.07,13026,1646.78,61893,47064.78,4386,4921.90,4251,25655.32,611,2996.93,203238,99210,18023,9566
Dumka,38229,9589.07,5533,1211.57,21461,14479.76,2333,1873.34,856,4452.83,150,550.43,60546,28522,8016,3635
East Singhbhum,115644,22316.66,8601,1739.66,69284,52609.54,5621,6107.68,4835,29228.49,668,3635.78,189763,104155,14890,11483
Garhwa,17972,4890.62,1548,467.88,12600,9303.57,970,989.66,846,5131.99,71,334.11,31418,19326,2589,1792
Giridih,171671,31488.00,11214,1686.65,83362,52969.21,4553,4937.72,2671,15479.47,358,1982.06,257704,99937,16125,8606
Godda,19123,4342.72,2387,660.06,18498,15141.53,2115,2477.83,1186,6516.89,158,687.10,38807,26001,4660,3825
Gumla,10325,1166.29,1037,252.85,4603,5526.93,873,1130.07,845,4579.80,119,591.37,15773,11273,2029,1974
Hazaribagh,95224,18108.42,5912,1131.03,53762,39990.28,4261,5318.18,3350,19103.08,521,2744.72,152336,77202,10694,9194
Jamtara,6950,1084.53,1051,259.53,4475,5468.05,752,910.33,386,2228.49,49,235.98,11811,8781,1852,1406
Khunti,12210,1685.18,783,209.91,6019,5530.38,550,706.59,468,2707.22,48,285.20,18697,9923,1381,1202
Koderma,48516,8875.85,3442,452.16,30365,20752.13,1513,1717.01,1365,7968.94,217,1149.44,80246,37597,5172,3319
Latehar,32705,6079.14,1262,326.61,13550,7974.72,595,522.44,534,3279.26,50,205.50,46789,17333,1907,1055
Lohardaga,8933,1212.67,674,174.90,6146,6435.68,904,1310.43,799,4321.71,124,609.73,15878,11970,1702,2095
Pakur,65060,11539.59,4443,707.49,35353,19561.78,1809,1233.42,1034,4409.16,81,370.49,101447,35511,6333,2311
Palamu,34089,9082.86,3076,1227.34,31716,22150.54,2133,2545.98,1809,10491.37,303,1486.75,67614,41725,5512,5260
Ramgarh,23746,4200.52,4336,749.88,20171,18558.55,2492,2904.09,1802,10376.81,263,1503.43,45719,33136,7091,5157
Ranchi,261935,47637.78,17753,2821.04,142118,98924.86,9402,10180.75,9345,53059.41,1369,7956.91,413398,199622,28524,20959
Sahibganj,20199,3942.59,2255,460.93,21991,15590.92,1638,1312.94,1156,6364.66,137,582.01,43346,25898,4030,2356
Seraikela-Kharsawan,31585,5030.57,3921,499.58,17157,15906.39,1570,1816.89,1151,6895.60,159,872.30,49893,27833,5650,3189
Simdega,7270,792.93,604,130.77,3643,3933.90,515,694.68,483,2784.48,61,398.86,11396,7511,1180,1224
West Singhbhum,175779,31184.41,7076,967.41,61743,37635.53,2670,2343.22,1262,7656.94,178,916.30,238784,76477,9924,4227
