district,pmegp_outstandin_no,amt,npa_no,amt,npa_pct,mudra_loans_outstanding_no,amt,npa_no,amt,npa_pct,stand_up_india_outstandi_no,amt,npa_no,amt,npa_pct,shg_nrlm_nulm_outstanding_no,amt,npa_no,amt,npa_pct
Bokaro,888,3053.79,312,927.33,30.37,137119,71586.32,16509,10155.02,14.19,200,3204.80,56,695.93,21.72,21835,41136.04,629,375.09,0.91
Chatra,484,1172.04,189,370.85,31.64,19375,16258.85,2773,3009.95,18.51,59,700.03,15,164.91,23.56,14877,25525.89,564,333.91,1.31
Deoghar,935,2366.40,344,479.10,20.25,57331,38209.77,4807,4691.65,12.28,150,2393.19,15,244.55,10.22,11752,17103.02,1280,1170.94,6.85
Dhanbad,1231,3769.84,507,1294.91,34.35,203235,99192.52,18023,9565.60,9.64,263,3822.54,68,655.32,17.14,16321,27776.47,817,445.97,1.61
Dumka,1079,2131.49,364,538.63,25.27,60546,28521.66,8016,3635.34,12.75,59,1525.71,2,0.12,0.01,12303,20525.83,595,530.21,2.58
East Singhbhum,1175,4135.43,303,754.28,18.24,189737,104009.66,14890,11483.12,11.04,376,5528.88,84,1035.15,18.72,24960,57072.01,928,649.42,1.14
Garhwa,279,722.57,60,98.14,13.58,31130,19180.08,2589,1791.65,9.34,17,181.21,3,3.41,1.88,12101,19769.23,192,106.58,0.54
Giridih,994,2576.89,290,558.34,21.67,256413,99575.21,16125,8606.43,8.64,101,1777.26,12,86.75,4.88,28328,50204.27,1321,848.04,1.69
Godda,962,2365.46,247,405.68,17.15,38807,26001.14,4660,3824.99,14.71,55,1256.23,8,68.24,5.43,11604,20910.07,433,351.60,1.68
Gumla,675,1728.58,199,420.43,24.32,15378,11195.75,2029,1974.29,17.63,33,575.94,6,45.94,7.98,12356,22679.74,978,772.45,3.41
Hazaribagh,1228,4054.78,404,1072.24,26.44,152336,77201.79,10694,9193.92,11.91,191,2406.41,50,383.95,15.96,24554,47837.24,661,338.33,0.71
Jamtara,512,822.39,142,146.57,17.82,11811,8781.08,1852,1405.84,16.01,24,439.93,,0.03,0.01,7127,10452.33,318,377.71,3.61
Khunti,480,965.41,135,228.27,23.65,18697,9922.78,1381,1201.70,12.11,23,299.54,1,0.02,0.01,8262,16635.51,252,285.06,1.71
Koderma,624,1550.09,181,424.72,27.40,80246,37596.91,5172,3318.61,8.83,80,824.46,28,139.72,16.95,10703,24188.36,347,280.35,1.16
Latehar,309,548.14,88,104.52,19.07,46789,17333.12,1907,1054.55,6.08,76,1274.23,1,0.02,0.00,9993,18222.03,301,186.46,1.02
Lohardaga,663,1682.22,211,806.77,47.96,14599,11658.35,1694,2093.29,17.96,28,335.34,3,10.03,2.99,8608,17471.05,622,758.91,4.34
Pakur,700,1523.18,176,298.00,19.56,101447,35510.54,6333,2311.40,6.51,28,760.77,2,13.87,1.82,10766,20944.46,403,337.01,1.61
Palamu,461,1398.34,179,330.82,23.66,59558,38543.33,5340,5190.32,13.47,100,1909.71,5,46.88,2.45,19357,31142.96,527,423.56,1.36
Ramgarh,529,1700.18,138,298.74,17.57,45719,33135.88,7091,5157.40,15.56,154,1598.18,26,204.37,12.79,11249,24165.83,312,239.41,0.99
Ranchi,1559,5176.65,639,1743.44,33.68,413394,199594.13,28524,20958.70,10.50,596,9583.11,131,1683.36,17.57,33655,78927.38,1391,1789.97,2.27
Sahibganj,729,1696.00,160,250.25,14.76,43346,25898.17,4030,2355.88,9.10,32,510.06,1,0.04,0.01,10444,17052.99,321,197.77,1.16
Simdega,452,999.21,172,312.29,31.25,11396,7511.30,1180,1224.31,16.30,28,285.30,4,29.41,10.31,8661,14794.62,371,259.55,1.75
West Singhbhum,580,1587.26,172,321.09,20.23,238784,76476.88,9924,4226.93,5.53,46,1745.94,3,10.15,0.58,17498,43443.21,391,241.29,0.56
