district,export_credit_target_no,amt,achv_no,amt,achv_pct_amt,education_target_no,amt,achv_no,amt,achv_pct_amt,housing_target_no,amt,achv_no,amt,achv_pct_amt
Bokaro,99,227,,,0.00,1535,2804,1065,1781.00,63.52,1237,6533,583,3006.25,46.02
Chatra,66,138,,,0.00,75,145,54,97.05,66.93,25,180,12,79.18,43.99
Deoghar,91,236,,,0.00,528,1043,334,616.75,59.13,498,2601,260,1002.44,38.54
Dhanbad,109,258,,,0.00,2335,4172,1604,2474.76,59.32,3671,17392,2747,8976.84,51.61
Dumka,72,213,,,0.00,110,175,57,112.31,64.18,192,1449,49,389.08,26.85
East Singhbhum,107,255,,,0.00,2876,7982,1997,4554.13,57.06,3509,18490,2139,6773.71,36.63
Garhwa,97,240,,,0.00,95,184,84,138.98,75.53,90,592,56,188.11,31.77
Giridih,112,315,,,0.00,360,671,256,394.69,58.82,182,1528,160,568.68,37.22
Godda,69,219,,,0.00,152,283,102,164.64,58.18,236,2226,66,593.13,26.65
Gumla,78,180,,,0.00,165,274,229,310.20,113.21,102,732,35,204.16,27.89
Hazaribagh,116,227,,,0.00,493,1123,414,752.76,67.03,668,3942,230,1397.72,35.46
Jamtara,47,144,,,0.00,68,153,160,169.41,110.73,19,264,11,101.29,38.37
Khunti,45,120,,,0.00,69,134,45,88.08,65.73,74,413,29,153.89,37.26
Koderma,48,135,,,0.00,236,393,174,265.21,67.48,249,973,80,431.11,44.31
Latehar,53,174,,,0.00,60,76,38,48.40,63.68,36,232,32,209.90,90.48
Lohardaga,46,101,,,0.00,72,123,44,83.04,67.51,61,387,47,122.10,31.55
Pakur,46,143,,,0.00,52,48,67,75.20,156.68,49,405,20,163.25,40.31
Palamu,106,180,,,0.00,282,572,198,344.64,60.25,195,1403,129,820.50,58.48
Ramgarh,78,212,,,0.00,396,780,272,489.34,62.74,293,2432,127,903.87,37.17
Ranchi,187,491,,,0.00,4562,12101,3328,6919.18,57.18,3767,31389,2410,16704.03,53.22
Sahibganj,69,219,,,0.00,131,206,209,301.64,146.43,123,884,35,238.73,27.01
Seraikela-Kharsawan,81,206,,,0.00,804,1092,615,854.95,78.29,563,3000,319,1240.55,41.35
Simdega,58,105,,,0.00,44,53,28,35.56,67.09,34,196,16,48.08,24.53
West Singhbhum,121,266,,,0.00,469,913,419,794.85,87.06,229,2357,95,933.22,39.59
