district,target,total_application_received,sanctioned_appications,sanction_pct,application_disbursed,amt_disbursed_in_cr,rejected_application
Bokaro,161,240,39,24.22,17,0.77,201
Chatra,44,458,41,93.18,12,0.72,417
Deoghar,107,171,34,31.78,15,0.74,137
Dhanbad,227,263,49,21.59,27,0.89,214
Dumka,88,372,39,44.32,25,0.63,333
Garhwa,67,116,19,28.36,7,0.60,97
Giridih,129,283,41,31.78,22,0.85,242
Godda,71,317,44,61.97,20,0.80,273
Gumla,53,207,37,69.81,18,0.46,170
Hazaribagh,135,215,42,31.11,15,0.59,173
Jamtara,50,209,25,50.00,9,0.17,184
Khunti,29,54,19,65.52,9,0.31,35
Koderma,47,128,27,57.45,21,1.15,101
Latehar,31,235,39,125.81,22,1.17,196
Lohardaga,26,73,21,80.77,12,0.52,52
Pakur,42,113,20,47.62,10,0.23,93
Palamu,95,195,22,23.16,7,0.37,173
Ramgarh,90,167,23,25.56,12,0.43,144
Ranchi,392,174,52,13.27,37,2.68,122
Sahibganj,54,276,32,59.26,15,0.39,244
Seraikela-Kharsawan,94,197,44,46.81,27,0.70,153
Simdega,30,93,33,110.00,15,0.32,60
West Singhbhum,100,240,27,27.00,19,0.46,213
