district,total_disbursement_during_the_quarter_savings_linked_no,amt,credit_linked_no,amt,total_disbursement_during_the_fy_2023_24_savings_linked_no,amt,credit_linked_no,amt,outstanding_at_the_quarter_end_no,amt,outstanding_npa_at_the_quarter_end_no,amt,loans_to_jlgs_disbursement_no,amt,outstanding_no,amt
Bokaro,201,170.30,693,2005.42,4238,2388.93,3597,7569.13,21835,41136.04,629,375.09,12559,15556.80,30743,23102.65
Chatra,107,208.97,509,1466.82,3454,2602.90,1927,3838.05,14877,25525.89,564,333.91,3251,1935.72,6806,2995.68
Deoghar,183,146.38,1084,1690.19,2641,1439.69,3885,5424.14,11752,17103.02,1280,1170.94,7289,3001.57,14474,3784.79
Dhanbad,166,100.81,589,1510.51,2633,1331.20,3190,5537.17,16321,27776.47,817,445.97,13241,15123.17,58291,28205.01
Dumka,136,138.06,948,1683.30,4499,1879.00,3210,4809.74,12303,20525.83,595,530.21,10769,5326.20,24058,8649.18
East Singhbhum,166,66.22,830,3031.88,1876,600.76,2678,8966.88,24960,57072.01,928,649.42,18339,19826.19,49883,29674.31
Garhwa,129,77.15,699,1174.68,1964,961.94,1693,2677.68,12101,19769.23,192,106.58,15370,8708.19,31924,12583.02
Giridih,164,218.18,641,1742.04,5090,4204.37,4637,8526.69,28328,50204.27,1321,848.04,34865,46340.73,60346,58120.79
Godda,156,291.20,525,1385.08,6191,3509.41,3200,5136.13,11604,20910.07,433,351.60,8111,4820.96,18731,7952.29
Gumla,69,21.97,363,1039.64,871,523.56,1651,3854.35,12356,22679.74,978,772.45,1978,805.32,2153,799.40
Hazaribagh,179,273.99,666,2244.51,5822,3139.16,2909,6023.73,24554,47837.24,661,338.33,16742,19674.13,40407,28419.85
Jamtara,95,93.96,506,968.14,3154,1526.83,2108,2795.27,7127,10452.33,318,377.71,354,138.80,372,198.60
Khunti,118,91.97,267,692.90,2288,1309.72,1116,2224.30,8262,16635.51,252,285.06,3256,1400.20,5665,2233.45
Koderma,75,115.32,486,1923.87,3229,1333.97,2055,5436.76,10703,24188.36,347,280.35,8314,9924.46,23280,14362.10
Latehar,63,188.02,353,871.50,2436,2503.72,1817,3123.37,9993,18222.03,301,186.46,5511,8239.05,8384,9944.75
Lohardaga,44,17.14,165,459.39,208,37.02,619,1799.32,8608,17471.05,622,758.91,2619,1705.88,3296,2760.54
Pakur,84,276.83,412,783.23,4978,3738.01,1968,2790.21,10766,20944.46,403,337.01,8139,15740.76,15861,20527.78
Palamu,135,176.89,399,1168.14,4025,2320.66,1789,3142.78,19357,31142.96,527,423.56,23303,13952.42,47858,20172.22
Ramgarh,80,78.30,230,837.82,1840,1033.05,893,2492.13,11249,24165.83,312,239.41,6665,3878.04,17306,7025.72
Ranchi,278,205.90,771,3444.59,3078,1016.05,3239,13363.67,33655,78927.38,1391,1789.97,16330,19930.41,44658,31661.32
Sahibganj,229,154.23,498,1108.71,3505,1880.48,2103,3151.79,10444,17052.99,321,197.77,5084,2974.51,13042,5273.15
Seraikela-Kharsawan,66,24.00,282,840.00,464,121.05,955,2537.49,14654,30283.68,809,714.67,2859,3252.74,9610,5730.31
Simdega,77,9.41,205,623.49,470,144.88,667,1764.86,8661,14794.62,371,259.55,1601,646.62,2425,947.91
West Singhbhum,112,16.28,535,1228.10,752,213.39,1483,3127.70,17498,43443.21,391,241.29,5544,6929.64,7650,8450.33
