District,Bank Name,Total Agri (PS) O/S,Tot Agri (PS) NPA,Agri NPA Amt %,Total MSME (PS) O/S,Tot MSME (PS) NPA,MSME NPA Amt %,Total Other PS O/S,Tot Other (PS) NPA,OTHER (PS) NPA,Total PS O/S,Total PSA NPA,TOTAL PSA NPA
Bishnupur,,10322,1633,14.02,3929,1392,28.55,4228,2892,19.95,18479,5917,18.9
Chandel,,235,120,59.68,1123,158,5.71,118,5,0.59,1476,283,7.76
Churachandpur,,4559,1047,16.55,2735,830,15.15,618,153,3.36,7912,2030,13.01
Imphal East,,9618,2054,15.11,9271,1931,16.67,11909,7564,22.04,30798,11549,17.43
Imphal West,,23269,11248,22.14,25510,9047,19.98,8947,3317,6.89,57726,23612,18.49
Jiribam,,170,33,9.26,300,58,11.6,1130,154,15.46,1600,245,12.69
Kakching,,3734,1030,20.37,2599,876,20.82,3027,2146,25.88,9360,4052,21.74
Kamjong,,7,5,87.6,89,4,7.09,0,0,,96,9,15.82
Kangpokpi,,1269,314,14.69,1423,445,23.87,162,29,4.59,2854,788,18.26
Noney,,619,141,14.04,403,92,15.92,3,0,0,1025,233,14.04
Pherzawl,,0,0,,0,0,,0,0,,0,0,
Senapati,,2193,555,19.97,1579,425,15.81,595,161,2.4,4367,1141,12.82
Tamenglong,,308,138,32.11,529,174,19.88,16,0,0,853,312,20.82
Tengnoupal,,755,107,11.28,1279,374,38.61,54,1,0.65,2088,482,21.32
Thoubal,,8131,918,7.92,5525,1309,15.92,8835,5391,22.45,22491,7618,14.39
Ukhrul,,826,365,41.58,1105,379,43.23,286,43,2.82,2217,787,37.9
