district,SC Disb No,SC Disb Amt,SC O/S No,SC O/S Amt,ST Disb No,ST Disb Amt,ST O/S No,ST O/S Amt
Bishnupur,42,57.86,786,1809.56,23,105.85,392,1712.21
Chandel,0,0,29,118.61,68,23.91,430,789.04
Churachandpur,5,13.04,128,540.57,260,1312.17,5751,21238.83
Imphal East,17,72.68,335,802.33,63,310.43,1182,6356.09
Imphal West,89,299.15,1396,4141.55,208,1533.15,11252,26775.64
Jiribam,2,15.4,167,170.75,8,27.1,298,424.36
Kakching,213,1040.85,4827,9623.2,32,63.78,638,1423.71
Kamjong,0,0,4,26.8,0,0,15,28.64
Kangpokpi,6,12.2,157,666.5,40,127.31,1478,3113.1
Noney,0,0,10,39.67,8,38.11,822,960.43
Pherzawl,0,0,0,0,0,0,0,0
Senapati,2,7.15,54,213.6,284,689.61,1859,4312.48
Tamenglong,0,0,9,23.21,116,942.64,1696,6693.29
Tengnoupal,4,7.41,64,298.02,11,34.64,1375,2520.25
Thoubal,19,63.03,314,854.07,19,52,355,1097.49
Ukhrul,2,12.5,18,104.7,174,828.47,2758,7696.34
