district,Branch,Total Branch,ATM,Total ATM,B/C Total,B/C Fix,B/C Other
Bishnupur,4,21,3,20,111,75,37
Chandel,4,4,4,4,10,10,0
Churachandpur,17,21,29,34,102,59,45
Imphal East,24,34,28,40,110,74,33
Imphal West,10,67,10,201,3215,86,3130
Jiribam,4,5,1,2,7,0,7
Kakching,1,11,1,15,73,38,33
Kamjong,2,2,1,1,3,3,0
Kangpokpi,13,13,12,12,12,9,1
Noney,6,6,1,1,9,9,0
Pherzawl,0,0,0,0,2,0,2
Senapati,14,16,16,16,26,10,15
Tamenglong,2,5,0,2,10,0,10
Tengnoupal,3,7,2,6,18,8,10
Thoubal,6,21,3,34,148,96,50
Ukhrul,5,8,5,8,31,15,16
