District,Bank Name,Micro No.,Amt,Small No.,Medium No.,Other Msme No.,Msme Total O/S No.
Bishnupur,,3642,4926.53,71,0,216,3929
Chandel,,1122,1805.48,0,0,1,1123
Churachandpur,,2607,9669.31,96,1,31,2735
Imphal East,,8973,21044.76,217,56,25,9271
Imphal West,,22628,99642.24,712,42,2128,25510
Jiribam,,281,341.86,19,0,0,300
Kakching,,2314,4340.65,282,3,0,2599
Kamjong,,89,120,0,0,0,89
Kangpokpi,,1402,3458.09,15,0,6,1423
Noney,,402,499.3,0,0,1,403
Pherzawl,,0,0,0,0,0,0
Senapati,,1378,4219.74,102,0,99,1579
Tamenglong,,499,891.55,30,0,0,529
Tengnoupal,,1217,1312.65,59,0,3,1279
Thoubal,,5269,11212.97,44,4,208,5525
Ukhrul,,1039,1401.93,59,4,3,1105
