district,BHIM/UPI A/c,BHIM/UPI Amt.,BHIM Aadhaar A/C,BHIM Aadhaar Amt.,Bharat QR Code A/C,Bharat QR Code Amt.,IMPS A/C,IMPS Amt.,Cards (Debit & Credit) A/C,Cards (Debit & Credit) Amt.,USSD A/C,USSD Amt.
Bishnupur,793983,20263.91,1257205,23799.03,687,89.41,48626,97499.6,371996,19200.01,28350,697.69
Chandel,48,15.35,531651,8682.67,44,2.24,2311,410.26,13753,460.19,14160,367.63
Churachandpur,735570,34406.96,3132789,53747.41,1165,184.9,38597,188601.6,145209,7339.98,70039,1491.09
Imphal East,2389778,106181.27,2486637,48841.07,5227,641.66,202471,484203.1,689201,43877.52,54845,1403.01
Imphal West,4991383,201418.87,7318348,166518.2,9632,1616.6,279775,1150788,1389194,75264.79,205013,5876.88
Jiribam,521561,14463.99,200679,2828.94,0,0,21908,2516.8,48688,2331.41,2224,63.82
Kakching,433942,23105.74,970600,18126.74,907,106.5,24890,234269.2,160851,8347.26,24471,554.34
Kamjong,0,0,88678,1474.45,0,0,0,0,931,23.69,1429,26.07
Kangpokpi,143155,4422.99,1561829,25790.5,14,9.73,6411,1078.6,20561,779.96,35532,895.7
Noney,150745,1131.98,153157,3255.76,0,0,5373,537.17,52084,2476.67,2480,85.29
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,318901,19449.33,2114709,35561.19,569,46.61,19278,121276.9,41358,2218.16,36470,901.73
Tamenglong,340030,8909.78,55828,983.04,0,0,4901,943.89,59591,3067.97,466,12.3
Tengnoupal,128004,6049.94,488940,8998.55,206,24.92,6519,124626.1,69325,3508.69,12151,328.92
Thoubal,1531469,44033.55,1460759,30988.08,1393,258.85,78619,91253.68,376974,19508.66,30405,807.03
Ukhrul,288345,6238.58,1058211,18120.54,4,0.07,14301,2250.16,105782,6032.17,17510,370.22
