district,Bank Name,NRLM O/S No,Amt,NRLM Irregular No,Amt,NRLM NPA No,Amt,NULM O/S No,Amt,NULM NPA No,Amt,PMEGP O/S No,Amt,PMEGP NPA No,Amt,SHG O/S No,Amt,SHG NPA No,Amt,SUI O/S No,Amt,SUI NPA No,Amt
Bishnupur,,41,0,0,0,14,0,17,0,0,0,630,0,370,0,294,0,54,0,2,0,0,0
Chandel,,2,0,0,0,2,0,0,0,0,0,273,0,140,0,2,0,2,0,0,0,0,0
Churachandpur,,254,60.55,2,60.55,93,60.55,4,60.55,4,60.55,389,60.55,282,60.55,166,60.55,98,60.55,30,60.55,13,60.55
Imphal East,,950,64.82,7,64.82,47,64.82,17,64.82,2,64.82,802,64.82,396,64.82,280,64.82,56,64.82,51,64.82,7,64.82
Imphal West,,478,245.1,8,245.1,12,245.1,74,245.1,12,245.1,1117,245.1,624,245.1,329,245.1,102,245.1,85,245.1,43,245.1
Jiribam,,11,0,0,0,0,0,5,0,2,0,15,0,7,0,51,0,1,0,0,0,0,0
Kakching,,83,9.79,0,9.79,2,9.79,14,9.79,9,9.79,250,9.79,137,9.79,157,9.79,19,9.79,14,9.79,1,9.79
Kamjong,,0,0,0,0,0,0,0,0,0,0,42,0,31,0,0,0,0,0,0,0,0,0
Kangpokpi,,11,5.28,0,5.28,0,5.28,23,5.28,0,5.28,220,5.28,92,5.28,37,5.28,25,5.28,6,5.28,1,5.28
Noney,,17,0,0,0,15,0,0,0,0,0,38,0,27,0,43,0,14,0,0,0,0,0
Pherzawl,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,,11,23.66,0,23.66,1,23.66,4,23.66,1,23.66,611,23.66,327,23.66,90,23.66,1,23.66,32,23.66,1,23.66
Tamenglong,,4,0,0,0,4,0,3,0,2,0,192,0,104,0,12,0,6,0,0,0,0,0
Tengnoupal,,177,0,13,0,14,0,0,0,0,0,137,0,70,0,61,0,2,0,0,0,0,0
Thoubal,,573,14.85,2,14.85,78,14.85,79,14.85,3,14.85,529,14.85,235,14.85,322,14.85,58,14.85,18,14.85,1,14.85
Ukhrul,,3,0,0,0,1,0,21,0,15,0,342,0,198,0,123,0,102,0,0,0,0,0
