district,Housing Loan (PS) O/S No,Housing Loan (PS) O/S Amount,Housing Loan (NPS) O/S No,Housing Loan (NPS) O/S Amount,Rural Housing Loan O/S No,Rural Housing Loan O/S Amount,Housing Loan Eligibleunder PMAY O/S No,Housing Loan Eligibleunder PMAY O/S Amount,Current Year Disbursed under PMAY No,Current Year Disbursed under PMAY Amount,PMAY O/S No,PMAY O/S Amount
Bishnupur,401,2966.91,352,6301.22,0,0,0,0,0,0,0,0
Chandel,56,656.26,81,1286.61,80,1684.88,0,0,0,0,0,0
Churachandpur,299,3043.04,1133,21420.59,755,14399.74,0,0,0,0,0,0
Imphal East,1187,5708.22,724,14152.32,396,8889.42,88,956.22,0,0,88,956.22
Imphal West,4658,19129.5,4238,67598.66,1409,3385.36,58,613.89,0,0,59,634.09
Jiribam,3,24.15,7,100.03,0,0,0,0,0,0,0,0
Kakching,117,1491.41,262,5146.12,5,134.46,0,0,0,0,0,0
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,58,741.68,264,3975.03,175,3871.56,0,0,0,0,0,0
Noney,0,0,0,0,0,0,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,145,2001.33,487,8154.52,363,8778.93,0,0,0,0,0,0
Tamenglong,9,115.48,7,147.78,0,0,0,0,0,0,0,0
Tengnoupal,44,584.65,66,1293.81,61,1288.66,0,0,0,0,0,0
Thoubal,366,3816.45,577,9730.4,78,1443.14,10,188.05,0,0,11,204.56
Ukhrul,12,84.1,9,263.06,0,0,0,0,0,0,0,0
