District,During the Quarter Savings Linked No.,During the Quarter Savings Linked Amt,During the Quarter Credit Linked No.,During the Quarter Credit Linked Amt,Current FY Savings Linked No.,Current FY Savings Linked Amt,Current FY Credit Linked No.,Current FY Credit Linked Amt,SHG O/S No.,SHG O/S Amt,SHG NPA No.,SHG NPA Amt,SHG NPA Pct
Bishnupur,237,38.3,0,0,294,39.31,7,9.09,294,273.91,54,29.37,10.72
Chandel,122,13.72,0,0,122,13.72,0,0,2,0.07,2,0.07,100
Churachandpur,1085,92.14,51,76.79,1105,93.29,59,80.46,166,196.82,98,30.12,15.3
Imphal East,97,8.49,52,113.6,150,13.79,70,168.5,280,348.37,56,42.07,12.08
Imphal West,518,152.56,42,52.74,794,188.41,84,120.67,329,392.12,102,92.59,23.61
Jiribam,6,0.08,1,1.5,22,0.26,1,1.5,51,26.96,1,0.33,1.22
Kakching,189,86.03,1,1.5,232,86.94,37,24.43,157,166.64,19,8.81,5.29
Kamjong,139,5.19,0,0,139,5.19,0,0,0,0,0,0,0
Kangpokpi,186,15.67,4,0.53,197,15.88,3,1.45,37,32.45,25,21.68,66.81
Noney,76,8.69,0,0,91,10.69,0,0,43,47.31,14,13.85,29.27
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,451,46.6,0,0,465,46.84,5,29.5,90,178.12,1,0.48,0.27
Tamenglong,57,10.87,0,0,72,11.03,0,0,12,6.78,6,0.85,12.54
Tengnoupal,186,21.08,0,0,188,21.51,20,34.37,61,100.3,2,0,0
Thoubal,375,90.93,72,145.62,464,92.24,140,228.54,322,318.47,58,19.79,6.21
Ukhrul,86,3.11,0,0,128,3.67,0,0,123,159.49,102,150.17,94.16
