District,Bank Name,Smalland Marginal Farmers No.,Amt,Scheduled Castes No.,Scheduled Tribes No.,DRI scheme No.,Self Help Groups No.,womenbeneficiaries No.,Minoritycommunities No.,PMJDY No.,Others No.,Tot Weaker Sec O/S No.
Bishnupur,,8261,14172.28,472,82,0,482,6751,629,44,761,17482
Chandel,,137,1209,0,3,0,1,203,429,0,17,790
Churachandpur,,4252,27409.95,18,2537,0,258,1041,3494,242,68,11910
Imphal East,,6717,22215.85,105,781,0,993,15180,852,145,1476,26249
Imphal West,,21789,63829.04,529,1793,7,742,13623,1405,317,2116,42321
Jiribam,,234,866.94,141,200,0,37,1268,2,0,5,1887
Kakching,,3278,11384.21,3255,374,0,296,3420,132,0,228,10983
Kamjong,,0,22.51,0,0,0,0,0,11,0,0,11
Kangpokpi,,928,9400.96,100,1095,0,2592,260,806,0,16,5797
Noney,,613,2772.56,4,801,4,67,291,830,1,1,2612
Pherzawl,,0,0,0,0,0,0,0,0,0,0,0
Senapati,,2209,9811.21,0,213,0,81,921,2213,0,28,5665
Tamenglong,,1548,7454.88,0,242,22,5,98,422,4,3,2344
Tengnoupal,,909,4645.06,10,822,0,197,427,983,3,75,3426
Thoubal,,6681,15827.47,225,194,1,828,11077,1807,241,429,21483
Ukhrul,,1709,8402.38,0,682,0,89,318,668,0,118,3584
