District,Export Credit No.,Amt,Education No.,Housing (PS) No.,Social No.,Renewable No.,Informal Credit No.,Total Other PS Disb No.,Loans to Weaker No.
Bishnupur,0,2109.93,4,45,0,0,237,286,1394
Chandel,0,52.35,2,1,0,0,41,44,101
Churachandpur,0,3429.14,4,5,0,0,25,34,968
Imphal East,0,3044.97,17,300,0,0,558,875,2252
Imphal West,0,10391.17,119,469,0,1,400,989,4018
Jiribam,0,67.36,0,0,0,0,0,0,32
Kakching,0,1341.81,6,4,0,0,32,42,652
Kamjong,0,4.23,0,0,0,0,0,0,2
Kangpokpi,0,289.44,2,0,0,0,0,2,205
Noney,0,48.27,0,0,0,0,0,0,26
Pherzawl,0,0,0,0,0,0,0,0,0
Senapati,0,1384.74,5,2,0,0,198,205,630
Tamenglong,0,1468.12,3,1,0,0,0,4,207
Tengnoupal,0,143.61,0,0,0,0,2,2,66
Thoubal,0,3497.67,9,16,0,0,604,629,2601
Ukhrul,0,1201.56,1,1,0,0,36,38,278
