district,Sishu No,Sishuamt,Kishoreno,Kishore Amt,Tarun No,Tarun Amt,Total MUDRA Disb No.,Total MUDRA Disb Amt.
Bishnupur,245,88.1,90,170.26,53,354.84,388,613.2
Chandel,0,0,11,23.67,2,17,13,40.67
Churachandpur,38,7.32,90,243.27,34,258.47,162,509.06
Imphal East,685,243.86,273,507.62,68,312.54,1026,1064.02
Imphal West,864,547.33,521,1158.45,168,1046.78,1553,2752.56
Jiribam,30,10.6,18,18.05,1,10,49,38.65
Kakching,69,21.2,112,142.51,24,96.75,205,260.46
Kamjong,0,0,1,1.9,0,0,1,1.9
Kangpokpi,5,1.39,74,215.31,15,121.7,94,338.4
Noney,1,0.48,19,32.69,1,10,21,43.17
Pherzawl,0,0,0,0,0,0,0,0
Senapati,25,9.92,123,378.29,43,322.63,191,710.84
Tamenglong,2,1,26,56.47,3,22,31,79.47
Tengnoupal,6,1.5,12,32.91,0,0,18,34.41
Thoubal,631,242.23,150,240.66,16,111.9,797,594.79
Ukhrul,0,0,30,80.24,10,63.9,40,144.14
