District,Bank Name,KCCsfor AH and Allied Activities No.,Amt,Farm Production No.,Dairy No.,Farm Mechanisationn No.,Poultry No.,fisheries No.,Godown No.,Clinic No.,Other No.,Total IC- Agri Disb No.
Bishnupur,,59,963.65,0,5,0,320,54,7,16,84,545
Chandel,,37,13.19,0,0,0,15,1,0,0,0,53
Churachandpur,,156,782.18,0,6,0,359,21,2,89,37,670
Imphal East,,46,2058.54,0,21,84,826,36,0,3,613,1629
Imphal West,,82,4503.51,0,39,0,1539,56,0,6,543,2265
Jiribam,,0,5,0,0,0,0,0,0,0,1,1
Kakching,,125,275.72,0,2,0,15,56,0,0,12,210
Kamjong,,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,,7,30.62,0,3,0,12,0,0,0,81,103
Noney,,1,20.31,0,0,0,0,0,0,0,13,14
Pherzawl,,0,0,0,0,0,0,0,0,0,0,0
Senapati,,49,40.61,0,0,8,2,0,0,32,3,94
Tamenglong,,10,19.96,0,0,0,2,0,0,0,8,20
Tengnoupal,,12,5.57,0,0,0,1,0,0,0,15,28
Thoubal,,58,2715.9,0,5,11,1263,20,0,52,243,1652
Ukhrul,,8,17.76,0,0,0,8,1,0,0,27,44
