district,Bank Name,Farm Credit Crop No,Amt,Farm Credit Term No,Amt,Agri Infra No,Amt,Ancillary No,Amt,Agri Total O/S No,Amt
Bishnupur,,5657,10759.24,3885,10759.24,5,10759.24,775,10759.24,10322,10759.24
Chandel,,182,172.21,35,172.21,0,172.21,18,172.21,235,172.21
Churachandpur,,2142,5327.44,2350,5327.44,1,5327.44,66,5327.44,4559,5327.44
Imphal East,,2855,12267.02,5424,12267.02,14,12267.02,1325,12267.02,9618,12267.02
Imphal West,,12987,43444.2,8619,43444.2,73,43444.2,1590,43444.2,23269,43444.2
Jiribam,,69,103.16,57,103.16,1,103.16,43,103.16,170,103.16
Kakching,,1034,5494.25,2368,5494.25,9,5494.25,323,5494.25,3734,5494.25
Kamjong,,0,14.6,0,14.6,0,14.6,7,14.6,7,14.6
Kangpokpi,,1073,1409.42,159,1409.42,0,1409.42,37,1409.42,1269,1409.42
Noney,,166,648.52,425,648.52,0,648.52,28,648.52,619,648.52
Pherzawl,,0,0,0,0,0,0,0,0,0,0
Senapati,,1802,1833.56,281,1833.56,1,1833.56,109,1833.56,2193,1833.56
Tamenglong,,161,248.36,121,248.36,0,248.36,26,248.36,308,248.36
Tengnoupal,,214,912.98,522,912.98,1,912.98,18,912.98,755,912.98
Thoubal,,2913,10654.56,4645,10654.56,9,10654.56,564,10654.56,8131,10654.56
Ukhrul,,493,950.7,286,950.7,1,950.7,46,950.7,826,950.7
