District,Bank Name,Inactive CSPs,RuPaycardactivein PMJDY,Firsttimeactive RuPaycard,Aadhaar Authenticated SB accounts,RuPaycardissuedin KCC
Bishnupur,BOB,10,146311,37900,152203,2800
Chandel,BOI,4,6391,4279,14957,55
Churachandpur,BOM,201,67194,32930,136305,1534
Imphal East,CAN,1981,201808,38975,185683,5262
Imphal West,CBI,5246,186582,109685,387578,6512
Jiribam,IND,0,85741,157,25233,24
Kakching,IOB,4,89563,20046,83555,780
Kamjong,PNB,0,1650,1650,2751,0
Kangpokpi,PSB,50,16069,19525,46181,510
Noney,SBI,2,6296,5183,6813,82
Pherzawl,UCO,0,0,0,0,0
Senapati,UNI,5,64225,16397,58897,431
Tamenglong,Total,1,126753,2277,25397,8
Tengnoupal,AXIS,149,28790,6223,17135,112
Thoubal,BAND,30,89355,37147,174950,1403
Ukhrul,HDFC,5,102165,10696,75259,246
