District,Sishu O/S No.,Amt,Sishu NPA No.,Kishore O/S No.,Kishore NPA No.,Tarun O/S No.,Tarun NPA No.,Total MUDRA No.,MUDRA NPA
Bishnupur,3952,2217.74,2419,3735,1805,326,67,4291,33.81
Chandel,262,296.15,115,362,174,10,7,296,43.14
Churachandpur,1124,1177.61,350,1396,464,403,116,930,26.91
Imphal East,12163,3910.95,7537,6320,2065,692,171,9773,29.52
Imphal West,13382,6924.13,6499,8695,2927,1628,516,9942,30.62
Jiribam,1043,96.15,87,1809,148,12,1,236,11.96
Kakching,2484,1994.65,1523,3753,2060,110,15,3598,41.53
Kamjong,76,63.42,58,51,38,2,0,96,60.79
Kangpokpi,339,795.68,131,637,268,120,32,431,33.73
Noney,134,168.06,74,612,107,8,0,181,18.77
Pherzawl,0,0,0,0,0,0,0,0,0
Senapati,449,1092.51,248,1576,602,353,64,914,22.41
Tamenglong,103,139.23,41,403,90,36,2,133,17.31
Tengnoupal,368,622.57,137,1219,343,39,25,505,33.94
Thoubal,8780,2766.63,4796,4600,1927,375,48,6771,29.45
Ukhrul,168,512.96,62,781,280,70,18,360,32.48
