district,Dep Rural,Dep Semi- Urban,Dep Urban,Total Deposit,Adv Rural,Adv Semi- Urban,Adv Urban,Total Advances,CDR Rural,CDR Semi Urban,CDR Urban,Overall CD Ratio
Bishnupur,2173.03,39834.38,0,42007.41,4456.38,56202.99,3472.55,64131.92,205.08,141.09,,152.67
Chandel,13056.4,0,0,13056.4,18180.98,26.55,212.67,18420.2,139.25,,,141.08
Churachandpur,103138.7,6164.78,0,109303.5,86131.84,6266.02,12852.32,105250.2,83.51,101.64,,96.29
Imphal East,121231.8,12072.76,52164.17,185468.7,88975.96,5636.23,49065.27,143677.5,73.39,46.69,94.06,77.47
Imphal West,39083.2,41200.48,879735.2,960018.9,35070.96,48766.03,522834,606671,89.73,118.36,59.43,63.19
Jiribam,13013.64,243.03,0,13256.67,4267.48,159.22,0,4426.7,32.79,65.51,,33.39
Kakching,1263.12,22863.74,0,24126.86,1132,35221.6,0,36353.6,89.62,154.05,,150.68
Kamjong,1061.65,0,0,1061.65,1757,0,0,1757,165.5,,,165.5
Kangpokpi,31349.96,0,0,31349.96,31366.23,0,0,31366.23,100.05,,,100.05
Noney,4969.07,0,0,4969.07,3835.4,0,0,3835.4,77.19,,,77.19
Pherzawl,0,0,0,0,0,0,0,0,,,,
Senapati,50106.21,721.27,0,50827.48,47368.48,629.08,351.04,48348.6,94.54,87.22,,95.12
Tamenglong,739.76,12908.67,0,13648.43,273.91,7490.77,320.11,8084.79,37.03,58.03,,59.24
Tengnoupal,6008.77,7682.6,0,13691.37,13041.43,5132.35,0,18173.78,217.04,66.8,,132.74
Thoubal,7209.87,44844.18,0,52054.05,10271.72,70691.58,4697.11,85660.41,142.47,157.64,,164.56
Ukhrul,12332.62,14000.3,0,26332.92,12727.89,7436.96,204.96,20369.81,103.21,53.12,,77.35
