District,Current Year No. of Female Account,Current Year Sumof Female Amt,Current Year No. of Male Accountto SC,Current Year Sumof Male Amountto SC,Current Year No. of Male Accountto ST,Current Year Sumof Male Amountto ST,Total Current Year SUI Disb No.,Total Current Year SUI Disb Amt,SUI O/S No.,SUI O/S Amt,SUI NPA No.,SUI NPA Amt,SUI NPA Amt. %
Bishnupur,1,14.6,0,0,0,0,1,14.6,2,52.91,0,0,0
Chandel,0,0,0,0,0,0,0,0,0,0,0,0,0
Churachandpur,3,0,0,0,9,198,12,198,30,629.1,13,60.55,9.62
Imphal East,12,182.27,6,5.68,4,17.15,22,205.1,51,591.77,7,64.82,10.95
Imphal West,13,227.66,8,107.64,4,5.49,25,340.79,85,1500.26,43,245.06,16.33
Jiribam,0,0,0,0,0,0,0,0,0,0,0,0,0
Kakching,5,58.36,0,0,0,0,5,58.36,14,128.4,1,9.79,7.62
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,0,0,0,0,0,0,0,0,6,120.96,1,5.28,4.37
Noney,0,0,0,0,0,0,0,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,2,35,0,0,3,53.4,5,88.4,32,519.17,1,23.66,4.56
Tamenglong,0,0,0,0,0,0,0,0,0,0,0,0,0
Tengnoupal,0,0,0,0,0,0,0,0,0,0,0,0,0
Thoubal,0,0,0,0,0,0,0,0,18,111.51,1,14.85,13.32
Ukhrul,0,0,0,0,0,0,0,0,0,0,0,0,0
