District,No. of KCC issued during quarter (Including renewal),KCC Disbursed Amountduringquarter,Total O/S KCC No.,Total O/S KCC Amt,Number ofrupaycard Issued,KCC Cardactivated,KCC Animal Husbandry Issued (Incl Renewal),KCC for animal husbandary Amountdisbursed duringquarter,AH Totalno. of KCC,AH Outstandingamount,AH Number ofrupaycard Issued,AH Cardactivated,KCC Fisheries Issued (Incl Renewal),KCC for Fishery Amountdisbursed duringquarter,Fishery Totalno. of KCC,Fishery Outstandingamount,Fishery Number ofrupaycard Issued,Fishery Cardactivated
Bishnupur,352,174.06,5220,2688.68,2643,2623,22,20.55,339,287.02,209,208,13,2.18,193,197.37,77,77
Chandel,0,0,100,46.37,3,2,6,4.06,106,80.14,6,6,0,0,3,2.9,0,0
Churachandpur,183,129.48,2053,1248,1282,866,4,3.24,246,308.23,82,82,0,0,27,50.12,5,4
Imphal East,963,638.43,3634,2713.1,1595,1558,51,33.36,529,361.15,246,245,8,3.7,12,25.65,6,6
Imphal West,728,771.82,12956,10661.98,4177,3739,63,33.91,744,593.7,531,530,15,3.57,58,72.71,27,27
Jiribam,0,0,73,34.38,20,20,0,0,12,11.26,8,8,0,0,6,5.3,0,0
Kakching,171,134.54,1022,993.6,743,707,10,6,364,271.63,225,223,68,29.52,193,293.9,91,89
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,56,35.22,932,546.66,658,527,8,6.1,71,51.14,40,40,0,0,13,9.5,13,13
Noney,48,17.03,238,201.7,103,103,3,1.78,5,3.12,0,0,1,0.19,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,255,94.15,1622,751.44,639,502,26,7.82,78,32.62,8,8,3,0,4,1.28,0,0
Tamenglong,3,3,128,95.59,8,8,3,3,51,56.02,0,0,0,0,10,12.26,0,0
Tengnoupal,0,0,184,90.55,63,55,3,3.57,88,62.51,5,3,1,0,3,7.21,0,0
Thoubal,1012,269.69,3068,1878.57,1569,1535,68,20.85,400,304.62,228,211,31,5.69,76,74.79,27,27
Ukhrul,7,9.21,441,304.65,102,100,0,0.47,29,33.93,0,0,0,0,1,1.08,0,0
