district,Current Year Self- Help Group No.,Current Year Self- Help Group Amount,NRLM O/S No.,NRLM O/S Amt.,NRLM Irregular A/C No.,NRLM Irregular A/C Amt.,NRLM NPA No.,NRLM NPA Amt.,NRLM NPA Amt. %
Bishnupur,5,5.7,41,30.8,0,0,14,6.15,19.97
Chandel,0,0,2,0.07,0,0,2,0.07,100
Churachandpur,57,293.63,254,177.43,2,0.82,93,21.77,12.27
Imphal East,245,180.66,950,964.36,7,5.71,47,33.87,3.51
Imphal West,114,120.79,478,401.02,8,2.08,12,8.99,2.24
Jiribam,0,0,11,3.25,0,0,0,0,0
Kakching,0,0,83,75.81,0,0,2,0.5,0.66
Kamjong,0,0,0,0,0,0,0,0,0
Kangpokpi,0,0,11,13.01,0,0,0,0,0
Noney,0,0,17,9.67,0,0,15,8.07,83.45
Pherzawl,0,0,0,0,0,0,0,0,0
Senapati,1,1,11,10.12,0,0,1,0.48,4.74
Tamenglong,0,0,4,0.71,0,0,4,0.71,100
Tengnoupal,13,47.14,177,227.52,13,21.65,14,16.37,7.19
Thoubal,145,116.25,573,691.21,2,1.19,78,57.69,8.35
Ukhrul,0,0,3,1.51,0,0,1,0.11,7.28
