District,Bank Name,Christians No.,Amt,Muslims No.,Buddhists No.,Sikhs No.,Zoroastrian No.,Jains No.,Tot Minority Disb No.
Bishnupur,,769,4815.19,653,2,40,0,2,1466
Chandel,,3549,15596.26,40,3,0,0,0,3592
Churachandpur,,12901,67461.47,1206,27,16,0,1,14151
Imphal East,,2564,18830.37,2800,12,42,0,5,5423
Imphal West,,15912,75677.94,4802,24,97,1,27,20863
Jiribam,,328,963.12,539,2,1,0,0,870
Kakching,,1051,4025.05,223,1,60,0,0,1335
Kamjong,,181,744.13,6,0,0,0,0,187
Kangpokpi,,4915,21726.45,253,3,11,0,0,5182
Noney,,1059,2209.78,4,0,3,0,0,1066
Pherzawl,,0,0,0,0,0,0,0,0
Senapati,,8108,36043.09,322,5,9,0,0,8444
Tamenglong,,1934,7441.59,14,2,1,0,0,1951
Tengnoupal,,2718,9752.61,149,4,3,0,0,2874
Thoubal,,608,11736.88,3908,1,7,2,3,4529
Ukhrul,,4115,16335.36,24,1,3,1,0,4144
