District,Sep-I,Sep-G,Sep-G No. of Beneficiary,SHG,SHG No. of Beneficiary,Women SHG,Women SHG No. of Beneficiary,Total Current Year NULM Disb,NULM O/S,NULM NPA,NULM NPA Pct
Bishnupur,0,0,0,0,0,0,0,0,17,0,0
Chandel,0,0,0,0,0,0,0,0,0,0,0
Churachandpur,0,0,0,0,0,0,0,0,4,4,1105.92
Imphal East,0,0,0,0,0,0,0,0,17,2,183.61
Imphal West,8,0,0,0,0,0,0,8,74,12,449.68
Jiribam,0,0,0,0,0,0,0,0,5,2,58.64
Kakching,0,0,0,0,0,0,0,0,14,9,44.46
Kamjong,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,0,0,0,0,0,0,0,0,23,0,277.05
Noney,0,0,0,0,0,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0
Senapati,0,0,0,0,0,0,0,0,4,1,13.55
Tamenglong,0,0,0,0,0,0,0,0,3,2,77.78
Tengnoupal,0,0,0,0,0,0,0,0,0,0,0
Thoubal,0,0,0,16,160,16,160,16,79,3,1.32
Ukhrul,0,0,0,0,0,0,0,0,21,15,793.43
