district,Bank Name,KCCs for AH and Allied Activities No,Amt,Farm Production No,Amt,Dairy No,Amt,Farm Mechanisation No,Amt,Poultry No,Amt,fisheries No,Amt,Godown No,Amt,Clinic No,Amt,Other No,Amt,Total IC- Agri Disb No,Amt
Bishnupur,,297,4113.62,0,4113.62,20,4113.62,20,4113.62,569,4113.62,483,4113.62,0,4113.62,0,4113.62,799,4113.62,2188,4113.62
Chandel,,106,114.61,0,114.61,0,114.61,0,114.61,17,114.61,1,114.61,0,114.61,0,114.61,1,114.61,125,114.61
Churachandpur,,408,2893.46,0,2893.46,114,2893.46,10,2893.46,713,2893.46,121,2893.46,0,2893.46,1,2893.46,491,2893.46,1858,2893.46
Imphal East,,462,6882.68,9,6882.68,89,6882.68,542,6882.68,1592,6882.68,139,6882.68,0,6882.68,0,6882.68,1171,6882.68,4004,6882.68
Imphal West,,797,13615.69,9,13615.69,192,13615.69,77,13615.69,2960,13615.69,359,13615.69,0,13615.69,2,13615.69,1560,13615.69,5956,13615.69
Jiribam,,24,27.2,0,27.2,0,27.2,0,27.2,1,27.2,0,27.2,0,27.2,0,27.2,2,27.2,27,27.2
Kakching,,428,1717.57,0,1717.57,6,1717.57,3,1717.57,26,1717.57,234,1717.57,0,1717.57,0,1717.57,207,1717.57,904,1717.57
Kamjong,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,,105,364.39,0,364.39,13,364.39,0,364.39,31,364.39,1,364.39,0,364.39,0,364.39,145,364.39,295,364.39
Noney,,1,103.58,0,103.58,0,103.58,0,103.58,0,103.58,0,103.58,0,103.58,0,103.58,77,103.58,78,103.58
Pherzawl,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,,79,152.32,0,152.32,3,152.32,55,152.32,12,152.32,2,152.32,0,152.32,0,152.32,37,152.32,188,152.32
Tamenglong,,79,167.02,0,167.02,10,167.02,2,167.02,18,167.02,2,167.02,0,167.02,0,167.02,99,167.02,210,167.02
Tengnoupal,,54,72.71,0,72.71,0,72.71,0,72.71,1,72.71,1,72.71,0,72.71,0,72.71,24,72.71,80,72.71
Thoubal,,291,6230.74,0,6230.74,31,6230.74,125,6230.74,2085,6230.74,214,6230.74,0,6230.74,0,6230.74,875,6230.74,3621,6230.74
Ukhrul,,22,350.23,0,350.23,8,350.23,0,350.23,20,350.23,1,350.23,0,350.23,0,350.23,218,350.23,269,350.23
