District,Enrolment Under PMJJBY,eligible cases under PMJJBY,Renewals Under PMJJBY,Enrolment Under PMSBY,eligible cases under PMSBY,Renewals Under PMSBY,Enrolment Under APY,Total Enrolment No.
Bishnupur,16600,123817,5900,31924,201433,17051,2261,50785
Chandel,5148,21359,1955,7792,33796,4302,256,13196
Churachandpur,30652,136256,8163,37787,205439,19236,2658,71097
Imphal East,37314,159186,9345,71793,241873,38393,6905,116012
Imphal West,78120,416508,20424,138731,619905,66053,11752,228603
Jiribam,907,30352,26,1712,39800,41,392,3011
Kakching,14188,84311,4559,23591,134900,15018,1747,39526
Kamjong,582,2305,320,877,4134,532,92,1551
Kangpokpi,22815,33967,5406,18521,53769,5999,1472,42808
Noney,3018,10945,1166,4945,14750,3332,183,8146
Pherzawl,0,0,0,0,0,0,0,0
Senapati,16268,72256,5153,24495,105091,10757,1134,41897
Tamenglong,1177,39215,0,3821,49476,0,499,5497
Tengnoupal,9294,26465,2515,10635,38706,5479,850,20779
Thoubal,20058,124412,9707,39484,211767,24983,2717,62259
Ukhrul,12496,83550,4977,12123,123281,9119,1187,25806
