District,CY Sanction A/C No.,CY Sanction Amt,CY Disbursed A/C No.,CY Disbursed Amt,PMEGP O/S No.,PMEGP O/S Amt,PMEGP NPA No.,PMEGP NPA Amt,PMEGP NPA Pct
Bishnupur,8,8.08,9,3.98,630,969.53,370,586.45,60.49
Chandel,3,4.35,4,4.59,273,480.08,140,221.5,46.14
Churachandpur,18,40.7,23,11.23,389,679.43,282,320.45,47.16
Imphal East,16,148.63,45,180.87,802,2580.09,396,651.36,25.25
Imphal West,16,96.84,58,182.37,1117,4640.52,624,2184.9,47.08
Jiribam,0,0,0,0,15,23.85,7,13.39,56.14
Kakching,1,3.9,9,13.77,250,455.35,137,246,54.02
Kamjong,0,0,0,0,42,76.4,31,58.84,77.02
Kangpokpi,1,14.24,4,8.74,220,682.5,92,282.72,41.42
Noney,0,0,0,0,38,72.21,27,46.93,64.99
Pherzawl,0,0,0,0,0,0,0,0,0
Senapati,1,1.9,5,5.65,611,1142.62,327,511.58,44.77
Tamenglong,0,0,4,6,192,313.57,104,132.03,42.11
Tengnoupal,0,0,0,0,137,201.8,70,163.15,80.85
Thoubal,29,37.15,29,25.99,529,1162.63,235,358.23,30.81
Ukhrul,3,13.45,20,53.94,342,551.2,198,277.74,50.39
