District,Rural No.,Urban No.,Male No.,Female No.,Total PMJDY No.,No. of Zero Balance A/C,Amt. Deposits held in the A/C,No. of Rupay Card Issued,No. of Rupay Card Activated,No. of Aadhaar Seeded
Bishnupur,87861,56074,56703,87007,143710,16920,2563.04,89198,48337,101336
Chandel,13248,0,6017,7228,13245,881,399.33,12710,6102,8321
Churachandpur,91698,3751,43491,51944,95435,13578,3251.7,74784,35343,59052
Imphal East,92652,46634,55661,83512,139173,24239,2861.79,91916,40757,96874
Imphal West,49775,197436,98476,148401,246877,44323,5982.56,185524,90664,183708
Jiribam,19466,0,8391,11075,19466,3300,619.74,15629,6700,17041
Kakching,27409,47995,32011,43330,75341,8511,1161.26,54143,23529,53938
Kamjong,2286,0,1142,1143,2285,58,88,2487,1269,986
Kangpokpi,29101,1182,14668,15610,30278,10537,750.99,21354,12809,15916
Noney,9864,0,5176,4661,9837,408,646.01,8036,4875,5969
Pherzawl,0,0,0,0,0,0,0,0,0,0
Senapati,39170,0,18081,20997,39078,1385,1676.56,42462,16594,21430
Tamenglong,4212,21624,13785,12051,25836,7334,552.52,26883,9589,15225
Tengnoupal,10740,6319,7646,9394,17040,1923,551.1,17820,7080,12295
Thoubal,74106,70199,61127,83048,144175,18225,2230.83,86375,41073,94086
Ukhrul,5488,66038,36253,35260,71513,15357,3031.88,63384,16647,33292
