district,Name of Bank Branches,No. of ATMs,Location
ALB Imphal,,1,Near Pologround
Axis Bank,,2,ImphalBranch
"BOB, Imphal",,1,Opposite Gurudwara
BOI Imphal,,1,RIMS Road
Bishnupur District’s SBI,,2,SBI Bishnupur Branch
"CAN, Imphal",,1,Thangal Bazar Branch
Chandel District’s SBI,,4,"One Each at: SBI Chandel Branch, Near SBI BSF Kangsang Branch, SBI Moreh Branch, SBI Chakpikarong Branch"
Churachandpur District’s SBI,,2,SBI Loktak HEPA Branch
Tamenglong District’s SBI,,1,SBI Noney Branch
Thoubal District’s SBI,,2,Thoubal Branch
Ukhrul District’s SBI,,2,"One each at: SBI Ukhrul, mini secretariat, ukhrul and kamjong."
