District,Total Deposit,Total Advance,CD ratio Norm 60%,Crop Loan/KCC,% of Agri. Advto Nbc 18%,Total Priority Sector Advances,% of PS Advanceto Nbc Norm 40%
Thoubal,25298.98,15288.20,60,2401.08,34,11597.76,76
Chandel,11117.95,7274.31,65,604.24,16,4453.38,61
Churachandpur,32542.74,14680.52,45,583.78,21,9823.52,67
Senapati,21842.45,17737.77,81,940.20,20,10553.19,59
Imphal West,358744.80,145432.65,41,6024.35,13,99412.63,68
Imphal East,45325.83,20905.94,46,1367.02,18,15320.25,73
Bishnupur,11134.66,10041.94,90,1040.68,25,6700.75,67
Tamenglong,7698.43,2072.31,27,11.31,34,1760.69,85
Ukhrul,12576.95,3615.35,29,45.75,30,2743.05,76
