district,la b u o h T,le d n a h C,ru p d n a h c a ru h C,ita p a n e S,ts e W la h p m I,ts a E la h p m I,ru p u n h s iB,g n o lg n e m a T,lu rh k U,la to T
ALB,-,-,-,-,1,-,-,-,-,1
AXIS,1,-,1,-,9,5,-,-,-,16
BOB,-,-,-,-,1,-,-,-,-,1
BOI,1,-,-,-,2,1,-,-,-,4
CAN,1,-,1,-,1,-,-,-,-,3
CBI,-,-,-,-,5,1,-,-,-,6
HDFC,3,-,1,1,7,1,-,-,-,13
ICICI,1,-,1,-,5,2,-,-,-,9
IDBI,-,-,-,-,1,-,-,-,-,1
INDUS,-,-,-,-,1,-,-,-,-,1
IOB,1,-,-,-,1,-,-,-,-,2
IUCB,-,-,-,-,1,-,-,-,-,1
PNB,-,-,-,-,2,-,-,-,-,2
PSB,-,-,-,-,-,2,-,-,-,2
SBI,19,4,17,15,88,33,11,1,4,192
SYN,-,-,-,-,1,-,-,-,-,1
UBI,2,-,2,1,10,1,1,1,1,19
UCO,-,-,1,-,-,-,-,-,-,1
UNION,-,-,-,-,1,-,-,-,-,1
VJB,-,-,-,-,2,-,-,-,-,2
