district,Noof SHGsformed,Noofwomen SHGs,Noof SHGstakenupeconomicactivities
Bishnupur,2449,2200,2174
Chandel,996,897,922
Churachandpur,2301,2170,1831
Imphal East,2805,2552,2443
Imphal West,6630,5787,5128
Senapati,3801,3670,3237
Tamenglong,882,808,693
Thoubal,5353,5081,4318
Ukhrul,1438,1318,1282
