District,branch_rural,branch_semi_urban,branch_urban,total_branch
Adilabad,53.0,17.0,36.0,106.0
Bhadradri Kothagudem,69.0,105.0,0.0,174.0
Hanumakonda,37.0,20.0,106.0,163.0
Hyderabad,2.0,6.0,1104.0,1112.0
Jagitial,66.0,37.0,26.0,129.0
Jangoan,33.0,29.0,1.0,63.0
Jayashankar Bhupalapally,25.0,20.0,1.0,46.0
Jogulamba Gadwal,23.0,35.0,0.0,58.0
Kamareddy,74.0,59.0,1.0,134.0
Karimnagar,93.0,41.0,85.0,219.0
Khammam,102.0,61.0,88.0,251.0
Kumuram Bheem Asifabad,40.0,14.0,1.0,55.0
Mahabubabad,27.0,43.0,1.0,71.0
Mahabubnagar,50.0,27.0,60.0,137.0
Mancherial,48.0,69.0,6.0,123.0
Medak,60.0,44.0,2.0,106.0
Medchal Malkajgiri,43.0,109.0,496.0,648.0
Mulugu,26.0,10.0,1.0,37.0
Nagarkurnool,50.0,39.0,1.0,90.0
Nalgonda,93.0,46.0,90.0,229.0
Narayanpet,28.0,27.0,0.0,55.0
Nirmal,54.0,33.0,5.0,92.0
Nizamabad,145.0,55.0,81.0,281.0
Peddapalli,45.0,45.0,27.0,117.0
Rajanna Sircilla,39.0,27.0,6.0,72.0
Ranga Reddy,150.0,108.0,496.0,754.0
Sangareddy,91.0,115.0,37.0,243.0
Siddipet,69.0,49.0,30.0,148.0
Suryapet,64.0,54.0,40.0,158.0
Vikarabad,58.0,42.0,4.0,104.0
Wanaparthy,24.0,35.0,1.0,60.0
Warangal,42.0,21.0,69.0,132.0
Yadadri Bhuvanagiri,58.0,48.0,2.0,108.0
