District,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,crop,agri_term,sub_total,agri_infra,ancillary_activities,total_agriculture,msme,col_21,col_22,export_credit,education,housing,social_infrastructure,renewable_energy,others,total_priority_secotr
Adilabad,18.0,0.0,0.0,1314.33,4.73,9.85,438.0,24.56,26.93,397.54,0.0,0.0,135.0,0.0,0.0,146.45,48.28,0.0,2354.07,209.56,2563.63,199.32,486.61,3249.56,800.1,2598.33,61.6,0.0,48.0,91.19,20.33,8.77,0.0,4217.95
Bhadradri Kothagudem,9.0,0.0,0.0,574.33,4.15,2.05,1198.0,7.99,1.49,204.42,0.06,0.22,221.0,1.03,4.38,154.5,52.85,0.0,2710.98,736.99,3447.97,132.67,728.9,4309.54,426.55,1692.75,30.64,0.0,202.8,536.22,26.69,23.51,0.0,5525.31
Hanumakonda,110.0,0.0,0.0,2401.89,21.04,27.82,3661.0,20.26,5.02,720.13,0.35,0.36,8.0,0.51,30.91,153.47,35.81,0.0,1432.73,400.4,1833.13,113.5,551.65,2498.28,1369.6,3136.61,70.57,0.0,75.63,403.2,96.2,1.65,0.0,4444.56
Hyderabad,1428.0,219.26,56.2,61289.02,72.79,6.05,12735.0,675.9,23.67,9166.87,116.44,27.86,26.0,35.15,133.6,504.9,340.3,58.84,0.0,0.0,0.0,0.0,0.0,0.0,23972.55,47695.97,161.98,390.01,1203.87,2855.68,418.02,26.31,578.38,29444.82
Jagitial,88.0,0.0,0.0,465.97,11.39,33.43,1189.0,21.28,21.79,350.74,0.0,0.0,282.0,10.28,137.62,116.05,45.59,0.0,2117.96,606.43,2724.39,139.77,834.75,3698.91,1086.7,2024.76,40.92,0.0,34.07,97.65,23.14,7.47,0.0,4947.94
Jangoan,29.0,0.0,0.0,201.3,8.03,34.33,1180.0,9.55,15.32,170.34,0.2,2.58,0.0,0.0,0.0,61.77,23.17,0.0,1592.6,531.7,2124.3,116.33,410.75,2651.38,297.09,1221.32,40.14,0.0,23.39,62.32,7.76,0.97,0.0,3042.91
Jayashankar Bhupalapally,,0.0,0.0,,7.48,52.02,,1.22,4.34,,0.0,0.0,,0.56,72.73,,10.29,0.0,1010.25,500.57,1510.82,80.07,19.74,1610.63,84.04,581.2,33.29,0.0,14.38,28.11,8.04,0.77,0.0,1745.97
Jogulamba Gadwal,10.0,0.0,0.0,260.04,3.34,22.71,461.0,4.51,4.01,112.77,0.0,0.0,0.0,0.0,0.0,34.85,4.75,0.0,2647.79,429.98,3077.77,96.0,356.81,3530.58,474.49,1314.62,31.61,0.0,14.71,112.6,19.03,7.19,0.0,4158.6
Kamareddy,123.0,0.0,0.0,440.77,3.31,9.88,689.0,16.55,12.16,355.93,0.03,0.16,1.0,0.0,0.0,84.42,20.63,0.0,3165.63,646.44,3812.07,105.38,388.86,4306.31,593.4,1776.8,34.9,0.0,33.49,136.12,18.27,3.39,0.0,5090.98
Karimnagar,65.0,0.0,0.0,2249.91,8.78,21.68,1581.0,145.96,82.96,759.7,0.1,0.57,755.0,10.79,111.35,288.51,105.06,0.0,2301.55,517.39,2818.94,94.98,664.51,3578.43,1063.45,3987.61,81.62,0.0,40.49,175.94,17.52,9.69,0.0,4885.52
Khammam,80.0,0.0,0.0,1853.66,17.42,7.36,3023.0,23.99,5.17,879.92,0.2,0.64,289.0,6.93,37.7,305.6,91.12,0.0,3292.28,699.51,3991.79,177.76,797.1,4966.65,520.65,4446.28,71.28,0.0,236.62,464.38,31.47,18.38,0.0,6238.15
