District,applications_received,applications_accepted,applications_sanctioned,applications_rejected,sum_of_pendency_more_than_15_days
Adilabad,80.0,80.0,1.0,79.0,0.0
Bhadradri Kothagudem,455.0,455.0,127.0,328.0,0.0
Hanumakonda,681.0,681.0,286.0,287.0,108.0
Jagitial,31.0,31.0,12.0,18.0,1.0
Jangoan,265.0,253.0,182.0,71.0,0.0
Jayashankar Bhupalapally,18.0,18.0,3.0,15.0,0.0
Jogulamba Gadwal,161.0,161.0,142.0,19.0,0.0
Kamareddy,253.0,253.0,7.0,245.0,0.0
Karimnagar,72.0,72.0,72.0,0.0,0.0
Khammam,800.0,800.0,279.0,521.0,0.0
Kumuram Bheem Asifabad,257.0,257.0,12.0,245.0,0.0
Mahabubabad,191.0,191.0,20.0,171.0,0.0
Mahabubnagar,126.0,126.0,22.0,104.0,0.0
Mancherial,446.0,442.0,180.0,262.0,0.0
Medchal Malkajgiri,265.0,265.0,25.0,240.0,0.0
Mulugu,5.0,5.0,0.0,5.0,0.0
Nagarkurnool,950.0,950.0,10.0,940.0,0.0
Narayanpet,339.0,339.0,151.0,188.0,0.0
Nirmal,38.0,38.0,12.0,26.0,0.0
Nizamabad,511.0,511.0,162.0,308.0,41.0
Peddapalli,66.0,66.0,63.0,3.0,0.0
Rajanna Sircilla,28.0,28.0,1.0,27.0,0.0
Sangareddy,291.0,291.0,200.0,91.0,0.0
Siddipet,199.0,199.0,148.0,51.0,0.0
Suryapet,22.0,22.0,9.0,13.0,0.0
Vikarabad,184.0,184.0,166.0,18.0,0.0
Wanaparthy,401.0,401.0,388.0,13.0,0.0
Warangal,3477.0,3477.0,962.0,2515.0,0.0
Yadadri Bhuvanagiri,164.0,164.0,46.0,118.0,0.0
