District,total_branch,deposits_rural,deposits_semi_urban,deposits_urban,total_deposit,advances_rural,advances_semi_urban,advances_urban,total_advance,cd_ratio
Adilabad,106.0,1546.01,504.68,2081.93,4132.62,2142.26,1157.41,6425.8,9725.47,235.33
Bhadradri Kothagudem,174.0,1140.91,6543.77,36.41,7721.09,1823.51,6291.77,225.55,8340.83,108.03
Hanumakonda,163.0,795.95,614.81,11341.38,12752.14,1471.73,1496.21,13529.0,16496.94,129.37
Hyderabad,1112.0,9.03,256.99,383038.5,383304.5,129.5,1852.95,487605.4,489587.8,127.73
Jagitial,129.0,1459.74,1926.38,1701.26,5087.38,2496.3,2023.94,2004.5,6524.74,128.25
Jangoan,63.0,648.52,1129.33,3.96,1781.81,1756.13,2453.81,4.65,4214.59,236.53
Jayashankar Bhupalapally,46.0,519.17,1135.21,0.28,1654.66,998.98,1009.17,5.39,2013.54,121.69
Jogulamba Gadwal,58.0,423.81,1346.05,0.0,1769.86,1325.87,2210.47,40.42,3576.76,202.09
Kamareddy,134.0,1148.26,2322.06,6.94,3477.26,2518.75,3816.88,88.01,6423.64,184.73
Karimnagar,219.0,3807.52,1950.43,6572.95,12330.9,4099.81,2164.07,8224.12,14488.0,117.49
Khammam,251.0,1980.25,1868.56,5836.91,9685.72,4268.57,3670.25,10325.72,18264.54,188.57
Kumuram Bheem Asifabad,55.0,1210.56,683.54,12.85,1906.95,1229.06,406.33,58.7,1694.09,88.84
Mahabubabad,71.0,430.21,1508.82,6.28,1945.31,1285.15,3185.58,62.4,4533.13,233.03
Mahabubnagar,137.0,877.88,757.31,3800.86,5436.05,1926.54,1628.64,5675.5,9230.68,169.8
Mancherial,123.0,2620.8,5257.83,281.23,8159.86,2047.68,4395.97,349.09,6792.74,83.25
Medak,106.0,882.43,1523.03,3.82,2409.28,2394.87,2915.87,584.14,5894.88,244.67
Medchal Malkajgiri,648.0,3395.14,6974.58,100537.7,110907.4,2279.45,7522.99,98196.71,107999.2,97.38
Mulugu,37.0,722.07,302.42,0.0,1024.49,1015.94,471.01,22.87,1509.82,147.37
Nagarkurnool,90.0,1033.99,1466.12,9.58,2509.69,2252.2,2905.61,308.93,5466.74,217.83
Nalgonda,229.0,1914.38,1290.32,5433.84,8638.54,5074.18,2873.38,9923.53,17871.09,206.88
Narayanpet,55.0,477.42,872.18,0.0,1349.6,1182.64,1332.58,32.7,2547.92,188.79
Nirmal,92.0,1408.03,1585.16,60.49,3053.68,2439.58,3089.94,185.09,5714.61,187.14
Nizamabad,281.0,2675.31,2038.26,4592.89,9306.46,5770.1,3790.7,6832.78,16393.58,176.15
Peddapalli,117.0,1826.56,2157.44,2642.33,6626.33,1778.88,2599.44,1844.28,6222.6,93.91
Rajanna Sircilla,72.0,956.76,1955.34,689.88,3601.98,1580.6,1808.92,663.88,4053.4,112.53
Ranga Reddy,754.0,8533.79,4871.87,64680.19,78085.85,7500.93,6032.29,57406.75,70939.97,90.85
Sangareddy,243.0,6955.62,5959.8,5909.0,18824.42,4787.53,13587.36,5750.46,24125.35,128.16
Siddipet,148.0,1573.59,1572.94,1789.14,4935.67,2855.28,2466.66,2211.87,7533.81,152.64
Suryapet,158.0,1128.61,1658.47,1581.52,4368.6,3077.87,4192.56,3877.23,11147.66,255.18
Vikarabad,104.0,1084.51,1781.48,55.31,2921.3,1989.82,2689.98,145.76,4825.56,165.19
Wanaparthy,60.0,383.56,1398.8,8.55,1790.91,1064.11,2326.31,26.72,3417.14,190.8
Warangal,132.0,671.02,627.3,8808.79,10107.11,1989.75,1707.07,6040.89,9737.71,96.35
Yadadri Bhuvanagiri,108.0,1162.66,2369.31,19.92,3551.89,2322.4,3432.06,116.99,5871.45,165.3
