District,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,agricuture,education,housing,personal_loan_under_nps,others,total_non_priority
Adilabad,114144.0,5.6,10.36,89.74,12.04,27.18,207.0,298.68,329.71,1665.56,378.66,232.24,87355.0,1027.64,544.91,4899.25,1722.62,318.67,54.05,44.29,90.59,163.05,188.59,540.57
Bhadradri Kothagudem,274354.0,6.17,59.16,336.75,5.49,72.91,198.0,77.62,618.49,614.68,357.39,1539.2,116047.0,617.35,3089.84,4401.62,1064.02,1443.5,10.43,7.53,12.55,23.22,19.98,73.71
Hanumakonda,187408.0,21.48,68.54,187.49,23.62,49.78,915.0,237.55,336.47,2767.5,444.13,443.07,169625.0,2160.22,1631.46,9458.05,2887.0,755.68,31.34,47.45,70.6,100.24,132.41,382.04
Hyderabad,185084.0,1921.89,0.0,471.98,356.83,27.65,7577.0,5706.88,147.38,43991.64,6297.86,81.32,2406377.0,140747.66,1038.31,403192.07,155031.12,585.84,0.0,1290.6,3872.12,7744.91,13555.5,26463.2
Jagitial,215106.0,4.51,22.7,196.67,9.32,65.91,260.0,53.91,160.45,504.8,246.39,312.08,82440.0,282.89,536.9,2237.17,597.02,299.63,19.87,14.14,33.6,78.95,52.69,199.25
Jangoan,153662.0,4.0,66.56,117.23,1.91,37.3,99.0,38.28,363.88,290.03,99.14,536.18,29520.0,164.56,831.11,1297.0,307.89,513.66,6.01,5.12,10.52,18.49,19.8,59.94
Jayashankar Bhupalapally,,0.35,1.74,,1.84,6.04,,19.66,43.17,,61.77,94.96,,97.13,115.08,,180.75,73.6,20.15,30.44,45.54,65.05,84.4,245.58
Jogulamba Gadwal,138893.0,2.73,5.17,129.39,1.15,1.65,58.0,22.5,22.95,250.27,68.75,50.31,26030.0,147.08,92.24,1056.08,242.21,46.87,52.8,69.89,98.03,136.65,159.45,516.82
Kamareddy,277851.0,5.55,12.49,243.9,2.25,3.59,150.0,62.91,69.32,617.69,174.95,139.79,38314.0,206.55,132.81,1941.18,452.21,94.51,44.42,62.65,90.75,125.15,155.52,478.49
Karimnagar,228640.0,33.97,16.36,192.18,25.48,8.92,764.0,191.1,40.92,1567.88,483.88,71.72,165904.0,926.08,96.45,6358.53,1660.51,63.99,207.63,285.5,467.06,674.65,960.13,2594.97
