District,Target Amt,Sanctioned No.,Sanctioned Amt,Disbursed No.,Disbursed Amt,O/S No.,O/S Amt,NPA No.,NPA Amt
Dimapur,390,120,3239.61,120,2340.61,1315,18520.55,43,587.26
Kiphire,0,0,0,0,0,3,26.92,0,0
Kohima,114,31,780.83,30,607.38,395,5252.47,14,143.93
Longleng,0,0,0,0,0,1,19.29,0,0
Mokokchung,0,12,132.95,12,106.9,156,952.01,2,7.19
Mon,0,1,20,1,19.7,32,152.12,2,6.67
Peren,0,1,20,1,15.92,18,100.49,2,7.89
Phek,0,0,0,0,0,15,45.51,1,1.36
Tuensang,0,0,0,0,0,7,36.9,0,0
Wokha,0,3,48,3,47.46,47,361.14,0,0
Zunheboto,0,2,73.78,2,73.22,35,87.22,9,15.74
