district,PMJDY No,PMJDY Cumml No,PMJJBY No,PMJJBY Cumml No,PMSBY No.,PMSBY Cumml No.,APY No,APY Cumml No
Dimapur,9003,63294,444,7172,2077,19671,340,1633
Kiphire,4105,10446,115,388,151,460,0,15
Kohima,2604,29509,211,7217,537,10231,191,1013
Longleng,957,12048,3,89,1,424,1,12
Mokokchung,548,28447,146,1513,243,4314,128,585
Mon,1419,21073,26,5455,9,668,22,170
Peren,1794,13978,61,393,258,778,1,9
Phek,1101,17572,29,355,53,906,1,33
Tuensang,732,23273,59,333,168,902,9,90
Wokha,282,12866,60,483,84,935,51,180
Zunheboto,71,11592,17,464,35,2063,18,45
