district,Number Of Account,Total Outstanding,Demand Raised,Recovery Amount,Recovery %,Overdues
Dimapur,463,1291.24,997.00,88,8.83,909
Kiphire,284,685.4,15.81,0.64,4.05,15.17
Kohima,415,1007.47,149.18,41.58,27.87,107.6
Longleng,223,416.96,150.00,0.96,0.64,149.04
Mokokchung,127,531.74,260.00,17.08,6.57,242.92
Mon,270,406.49,566.00,3.8,0.67,562.2
Peren,149,317.05,101.55,3.67,3.61,97.88
Phek,188,505.06,60.50,10.24,16.93,50.26
Tuensang,262,378.79,83.00,14.36,17.30,68.64
Wokha,133,409.78,308.00,10.72,3.48,297.28
Zunheboto,221,481.31,250.00,3.6,1.44,246.4
