district,No. of A/C,Total O/S,Demand Raised,Recovery Amount,%,Overdues Amount,Overdues %,GrossNPA Amount,GrossNPA %
Dimapur,25820,61123.87,7056.07,2495.34,35,4560.73,65,5562.36,9
Kiphire,1172,963.32,150.41,41.16,27,109.25,73,54.35,6
Kohima,20368,20480.03,1889.65,338.77,18,1550.88,82,2102.04,10
Longleng,552,463.27,65.57,2.92,4,62.65,96,67.9,15
Mokokchung,13420,13443.44,1951.74,396.66,20,1555.08,80,1346.15,10
Mon,1353,806.3,125.27,47.27,38,78,62,128.22,16
Peren,3907,3220.61,1662.54,79.13,5,1583.41,95,356.3,11
Phek,4037,2626.06,695.15,161.6,23,533.55,77,612.46,23
Tuensang,5256,3037.09,836.34,79.87,10,756.47,90,151.7,5
Wokha,2602,2785.1,837.46,127.31,15,710.15,85,464.53,17
Zunheboto,2417,1565.92,359.13,115.88,32,243.25,68,399.55,26
