District,No. of A/C,Total O/S,Demand Raised,Recovery Amt,%,Overdues Amt,Overdues %,GrossNPA Amt,GrossNPA %
Dimapur,10541,9472.6,2576.98,406.19,16,2170.79,84,1535.66,16
Kiphire,935,361.75,140.8,35,25,105.8,75,38.07,11
Kohima,14234,3894.08,669.9,22.95,3,646.95,97,547.76,14
Longleng,306,98.99,51.07,0,0,51.07,100,24.21,24
Mokokchung,11994,7370.75,1478.28,234.6,16,1243.68,84,602.27,8
Mon,1001,357.76,93.48,28.5,30,64.98,70,73.63,21
Peren,3642,2727.79,1626.76,63.98,4,1562.78,96,270.58,10
Phek,3699,1833.75,577.9,138.75,24,439.15,76,248.7,14
Tuensang,4954,2589.05,814.1,65.22,8,748.88,92,124.9,5
Wokha,2126,1337.6,715.1,55.53,8,659.57,92,370.44,28
Zunheboto,1963,657.15,317.59,93.93,30,223.66,70,279.44,43
