District,Current Year Number of Cards issued,Current Year Limit Sanctioned,O/S Position Number of Cards issued,O/S Position Limit Sanctioned
Dimapur,2835,1699.5,5669,3323.81
Kiphire,467,255.32,759,364.22
Kohima,1124,842.24,2329,1681.85
Longleng,119,52.31,286,100.18
Mokokchung,7091,4552.65,9813,6095.35
Mon,215,107.73,452,249.21
Peren,2334,1503.99,3107,1945.61
Phek,2216,1438.51,2834,1685.12
Tuensang,4199,2566.72,4595,2755.36
Wokha,733,430.69,1340,781.22
Zunheboto,250,110.66,789,304.5
