district,Number Of Account,Total Outstanding,Demand Raised,Recovery Amount,Recovery %,Overdues
Dimapur,33,42.98,29.97,26,87,3.97
Kiphire,1,1.5,0.82,0.82,100,0
Kohima,26,32.35,8.32,7.22,87,1.1
Longleng,27,33.75,0.4,0.4,100,0
Mokokchung,14,14.96,4.84,3.38,70,1.46
Mon,0,0,0,0,,0
Peren,0,0,0,0,,0
Phek,9,13.5,0.5,0.5,100,0
Tuensang,0,0,0,0,,0
Wokha,0,0,0,0,,0
Zunheboto,0,0,0,0,,0
