District,Deposit Amount (D),Advance Amount (A),Current C:D Ratio
Mon,24716.42,13027.53,52.71
Kohima,462932.24,95312.37,20.59
Dimapur,530392.22,234614.72,44.23
Tuensang,20008.48,21263.45,106.27
Kiphire,8104.16,5634.63,69.53
Phek,24383.04,13512.04,55.42
Zunheboto,24657.01,16447.67,66.71
Wokha,24713.87,31515.42,127.52
Mokokchung,58646.58,48153.26,82.11
Longleng,4700.00,3537,75.26
Peren,9618.29,10150.03,105.53
