district,Number of Pending Cases At the Begining Of the Quarter,Amount of Pending Cases At the Begining Of the Quarter,Number of Cases add during The Quarter,Amount of Casses Add during the Quarter,Number of Cases Settled during The Quarter,Amount of Cases settled during the quarter,Number of Pending Cases at the close of the Quarter,Amount of Pending Cases at the clase of the Quarter
Dimapur,0,0,0,0,0,0,356,307.10
Kiphire,0,0,0,0,0,0,0,0
Kohima,57,108.9,2,1.1,9,18,442,392.75
Longleng,156,28.53,0,0,65,10.25,91,18.28
Mokokchung,554,110.71,0,0,105,9.19,449,101.52
Mon,154,25.36,0,0,20,1.25,134,24.11
Peren,0,0,0,0,0,0,951,692.77
Phek,0,0,0,0,0,0,1120,940.15
Tuensang,352,98.56,0,0,89,6.5,263,92.06
Wokha,152,49.42,0,0,20,6.5,132,42.92
Zunheboto,555,235.04,0,0,66,10.25,489,224.79
