district,Crop Loan Achievement,Insurance Number (PMFBY),Insurance Amount (PMFBY),Insurance Number (Others),Insurance Amount (Others)
Dimapur,1146.24,220,100,56,14
Kiphire,52.53,0,0,0,0
Kohima,599.49,141,48,3,0.91
Longleng,22.44,0,0,0,0
Mokokchung,1473.07,0,0,10,4
Mon,21.25,0,0,0,0
Peren,770.77,0,0,0,0
Phek,581.37,0,0,0,0
Tuensang,954.96,0,0,0,0
Wokha,208.44,0,0,0,0
Zunheboto,40.73,0,0,16,5.84
