district,bharat_qr_code_a_c,bharat_qr_code_amt,bhim_aadhaar_a_c,bhim_aadhaar_amt,bhim_upi_a_c,bhim_upi_amt,debit_credit_cards_a_c,debit_credit_cards_amt,imps_a_c,imps_amt,ussd_a_c,ussd_amt
Dimapur,8347,2562.14,13316650,339034.39,3539940,205355.86,634130,37626.43,34221365,10833099.25,524769,14732.18
Kiphire,0,0.00,691454,17204.13,0,0.00,6724,1324.57,28,0.47,9388,294.53
Kohima,3172,497.85,5312311,130387.80,801993,50735.65,282690,16829.08,10996415,4011690.42,209390,6382.57
Longleng,0,0.00,503860,12444.87,0,0.00,8,0.07,31,0.47,5923,209.48
Mokokchung,404,55.14,2664452,67389.18,209485,11210.09,90607,7864.51,4303080,1236711.40,59191,1875.49
Mon,14,1.63,1955098,45228.01,3407,3978.13,18002,3242.78,6107,34709.50,26147,760.05
Noklak,0,0.00,211330,4559.11,0,0.00,0,0.00,1,0.00,2037,48.65
Peren,0,0.00,922128,19328.74,1,0.02,4309,1556.21,10,0.07,18152,472.31
Phek,0,0.00,1406995,35750.33,2042,119.56,12244,1119.89,551,6879.57,22865,682.04
Tuensang,0,0.00,1460243,38233.32,0,0.00,16786,998.94,7,0.10,21858,665.88
Wokha,457,85.26,1929299,42122.68,45965,5838.01,27359,1946.49,8109,160888.96,31061,807.89
Zunheboto,25,2.15,1212840,28121.79,1614,1793.51,6801,1217.43,787,48303.59,24952,765.36
