district,aadhaar_authenticated_sb_accounts,first_time_active_rupay_card,inactive_csps,rupay_card_active_in_pmjdy,rupay_card_issued_in_kcc
Dimapur,206235,50713,1844,87410,3177
Kiphire,19407,13602,5,13602,673
Kohima,106760,15943,515,23702,1045
Longleng,12408,11817,5,11817,124
Mokokchung,71368,19144,3343,15614,2101
Mon,58750,36986,196,37664,342
Noklak,4524,5264,2,5264,13
Peren,19853,10807,2,10807,1530
Phek,42148,17228,5,17525,1069
Tuensang,27404,27038,5,27055,497
Wokha,37780,10069,345,10700,473
Zunheboto,29348,10280,2,10778,632
