district,atm_rural,atm_semi_urban,atm_urban,bc_fixed,bc_other,bc_total,branch_rural,branch_semi_urban,branch_urban,total_atm,total_branch
Dimapur,63,65,42,63,466,530,12,20,37,170,69
Kiphire,3,1,0,10,0,10,1,2,0,4,3
Kohima,38,49,5,21,26,47,11,35,1,92,47
Longleng,0,3,0,11,0,11,2,0,0,3,2
Mokokchung,7,25,0,12,3,15,13,11,0,32,24
Mon,2,4,0,13,0,13,6,4,0,6,10
Noklak,1,0,0,1,0,1,1,0,0,1,1
Peren,5,1,0,12,0,12,3,1,0,6,4
Phek,8,1,0,16,0,16,5,4,0,9,9
Tuensang,1,7,0,10,0,10,6,2,0,8,8
Wokha,2,9,0,5,9,14,5,8,0,11,13
Zunheboto,4,7,0,4,0,4,7,4,0,11,11
