district,cy_shg_amt,cy_shg_no,irregular_amt,irregular_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Dimapur,149.63,71,1.27,9,16.79,14,7.95,211.12,153
Kiphire,9.60,9,0.79,2,2.05,6,16.09,12.74,21
Kohima,75.86,58,10.08,6,25.07,16,17.13,146.33,166
Longleng,14.98,12,0.94,5,4.73,9,24.87,19.02,29
Mokokchung,133.52,73,0.00,0,20.28,23,7.83,258.91,204
Mon,48.86,36,0.02,1,6.73,10,7.59,88.66,104
Noklak,0.00,0,0.03,1,0.00,0,0.00,1.73,10
Peren,20.50,11,2.83,6,6.51,13,26.18,24.87,43
Phek,23.50,10,0.05,1,2.22,3,7.92,28.02,24
Tuensang,2.50,2,0.37,6,4.63,7,23.57,19.64,45
Wokha,51.22,38,0.00,0,5.58,7,4.71,118.40,120
Zunheboto,30.06,23,0.02,1,2.90,4,4.93,58.86,61
