district,deposits_held_in_a_c_amt,female_no,male_no,no_of_aadhaar_seeded,no_of_rupay_card_issued,no_of_zero_balance_a_c,rupay_card_activated,rural_no,total_pmjdy_no,urban_no
Dimapur,3317.68,60272,49488,64200,91541,8630,51292,23909,109760,85544
Kiphire,333.60,7940,7372,8546,13320,1532,10677,6047,15312,9270
Kohima,868.50,15428,11160,14618,18659,2602,10827,15762,26588,7617
Longleng,278.10,8414,7042,8911,20064,295,10374,15457,15456,0
Mokokchung,1019.07,15760,14686,16409,25816,4301,11168,14480,30446,9425
Mon,1119.36,25853,25313,26153,40606,3782,33045,20466,51166,30711
Noklak,116.98,2958,2977,1176,5673,19,3979,5935,5935,0
Peren,451.38,9241,7157,8477,16903,210,8558,16379,16398,22
Phek,861.54,12514,10489,14425,20245,2549,13177,11597,23003,11412
Tuensang,639.14,16226,15751,9720,29802,2215,21490,6915,31977,25065
Wokha,449.49,9320,5969,7137,13227,1099,7115,5792,15289,7525
Zunheboto,357.04,9589,9933,6388,13615,3726,6438,15097,19522,4425
