district,cy_disbursed_amt,cy_disbursed_no,cy_sanction_amt,cy_sanction_no,npa_amt,npa_no,npa_pct,os_amt,os_no
Dimapur,953.77,192,1452.81,189,1357.69,391,40.16,3380.35,976
Kiphire,0.00,0,0.00,0,468.49,40,84.71,553.05,286
Kohima,496.53,106,811.58,110,544.06,188,34.11,1595.21,636
Longleng,0.00,0,0.00,0,5.14,5,1.64,313.89,185
Mokokchung,159.89,37,346.94,37,615.53,125,55.14,1116.21,270
Mon,90.51,32,222.00,32,224.52,14,34.54,650.08,277
Noklak,0.00,0,0.00,0,14.19,7,15.41,92.06,55
Peren,0.00,0,0.00,0,303.38,108,59.42,510.53,235
Phek,10.65,4,15.20,4,645.93,194,69.45,930.06,362
Tuensang,0.00,0,0.00,0,208.68,6,37.19,561.11,306
Wokha,1.35,2,26.63,8,92.68,3,33.03,280.62,111
Zunheboto,3.10,1,25.40,4,246.23,41,40.50,608.01,386
